run_id,label,product,tested_value,total_pnl,emeralds_pnl,tomatoes_pnl,trade_count
v15-baseline,baseline,ALL,defaults,10046.0,4902.0,5144.0,682
v15-l1-emeralds-emeraldsmreferencemmix-0p75,EMERALDS reference mix,EMERALDS,0.75,10019.0,4875.0,5144.0,676
v15-l1-emeralds-emeraldsmreferencemmix-0p80,EMERALDS reference mix,EMERALDS,0.80,10046.0,4902.0,5144.0,682
v15-l1-emeralds-emeraldsmreferencemmix-0p85,EMERALDS reference mix,EMERALDS,0.85,10015.0,4871.0,5144.0,682
v15-l2-emeralds-emeraldsminventorymskew-0p10,EMERALDS inventory skew,EMERALDS,0.10,9962.0,4818.0,5144.0,676
v15-l2-emeralds-emeraldsminventorymskew-0p12,EMERALDS inventory skew,EMERALDS,0.12,10046.0,4902.0,5144.0,682
v15-l2-emeralds-emeraldsminventorymskew-0p14,EMERALDS inventory skew,EMERALDS,0.14,10041.0,4897.0,5144.0,684
v15-l3-emeralds-emeraldsmtakemedge-0p85,EMERALDS take edge,EMERALDS,0.85,10036.0,4892.0,5144.0,682
v15-l3-emeralds-emeraldsmtakemedge-1,EMERALDS take edge,EMERALDS,1,10046.0,4902.0,5144.0,682
v15-l3-emeralds-emeraldsmtakemedge-1p15,EMERALDS take edge,EMERALDS,1.15,10016.0,4872.0,5144.0,676
v15-l4-emeralds-emeraldsmquotemedge-1p75,EMERALDS quote edge,EMERALDS,1.75,10046.0,4902.0,5144.0,682
v15-l4-emeralds-emeraldsmquotemedge-2,EMERALDS quote edge,EMERALDS,2,10046.0,4902.0,5144.0,682
v15-l4-emeralds-emeraldsmquotemedge-2p25,EMERALDS quote edge,EMERALDS,2.25,10046.0,4902.0,5144.0,682
v15-l5-emeralds-emeraldsmpassivemsize-6,EMERALDS passive size,EMERALDS,6,9894.0,4750.0,5144.0,680
v15-l5-emeralds-emeraldsmpassivemsize-7,EMERALDS passive size,EMERALDS,7,10046.0,4902.0,5144.0,682
v15-l5-emeralds-emeraldsmpassivemsize-8,EMERALDS passive size,EMERALDS,8,10040.0,4896.0,5144.0,681
v15-l6-emeralds-emeraldsmmaxmtakemsize-8,EMERALDS max take size,EMERALDS,8,10003.0,4859.0,5144.0,679
v15-l6-emeralds-emeraldsmmaxmtakemsize-10,EMERALDS max take size,EMERALDS,10,10046.0,4902.0,5144.0,682
v15-l6-emeralds-emeraldsmmaxmtakemsize-12,EMERALDS max take size,EMERALDS,12,10046.0,4902.0,5144.0,682
v15-l7-emeralds-emeraldsmsoftmlimitmratio-0p45,EMERALDS soft limit ratio,EMERALDS,0.45,10046.0,4902.0,5144.0,682
v15-l7-emeralds-emeraldsmsoftmlimitmratio-0p50,EMERALDS soft limit ratio,EMERALDS,0.50,10046.0,4902.0,5144.0,682
v15-l7-emeralds-emeraldsmsoftmlimitmratio-0p55,EMERALDS soft limit ratio,EMERALDS,0.55,10046.0,4902.0,5144.0,682
v15-l8-tomatoes-tomatoesminventorymskew-0p06,TOMATOES inventory skew,TOMATOES,0.06,10200.0,4902.0,5298.0,679
v15-l8-tomatoes-tomatoesminventorymskew-0p08,TOMATOES inventory skew,TOMATOES,0.08,10046.0,4902.0,5144.0,682
v15-l8-tomatoes-tomatoesminventorymskew-0p10,TOMATOES inventory skew,TOMATOES,0.10,9998.0,4902.0,5096.0,684
v15-l9-tomatoes-tomatoesmtakemedge-1p20,TOMATOES take edge,TOMATOES,1.20,10276.0,4902.0,5374.0,679
v15-l9-tomatoes-tomatoesmtakemedge-1p35,TOMATOES take edge,TOMATOES,1.35,10200.0,4902.0,5298.0,679
v15-l9-tomatoes-tomatoesmtakemedge-1p50,TOMATOES take edge,TOMATOES,1.50,10282.0,4902.0,5380.0,679
v15-l10-tomatoes-tomatoesmquotemedge-1p75,TOMATOES quote edge,TOMATOES,1.75,10282.0,4902.0,5380.0,679
v15-l10-tomatoes-tomatoesmquotemedge-2,TOMATOES quote edge,TOMATOES,2,10282.0,4902.0,5380.0,679
v15-l10-tomatoes-tomatoesmquotemedge-2p25,TOMATOES quote edge,TOMATOES,2.25,10292.0,4902.0,5390.0,679
v15-l11-tomatoes-tomatoesmpassivemsize-6,TOMATOES passive size,TOMATOES,6,10282.0,4902.0,5380.0,678
v15-l11-tomatoes-tomatoesmpassivemsize-7,TOMATOES passive size,TOMATOES,7,10292.0,4902.0,5390.0,679
v15-l11-tomatoes-tomatoesmpassivemsize-8,TOMATOES passive size,TOMATOES,8,10314.0,4902.0,5412.0,679
