run_id,label,total_pnl,emeralds_pnl,tomatoes_pnl,trade_count
v17-coarse-001,baseline_v17,12613.0,7403.0,5210.0,726
v17-coarse-002,pressure_off_maker,12827.0,7403.0,5424.0,714
v17-coarse-003,pressure_off_taker,12931.0,7403.0,5528.0,715
v17-coarse-004,light_pressure_balanced,13038.0,7403.0,5635.0,715
v17-coarse-005,strong_pressure_trend,11957.0,7403.0,4554.0,747
v17-coarse-006,wide_quote_low_take,12715.0,7403.0,5312.0,717
v17-coarse-007,narrow_quote_high_take,12711.0,7403.0,5308.0,716
v17-coarse-008,imbalance_only,12821.0,7403.0,5418.0,714
v17-coarse-009,short_momo_only,12609.0,7403.0,5206.0,719
v17-coarse-010,coarse_random_01,12745.0,7403.0,5342.0,718
v17-coarse-011,coarse_random_02,12637.0,7403.0,5234.0,719
v17-coarse-012,coarse_random_03,12754.0,7403.0,5351.0,722
v17-coarse-013,coarse_random_04,12873.0,7403.0,5470.0,714
v17-coarse-014,coarse_random_05,12551.0,7403.0,5148.0,718
v17-coarse-015,coarse_random_06,12699.0,7403.0,5296.0,716
v17-coarse-016,coarse_random_07,12697.0,7403.0,5294.0,723
v17-coarse-017,coarse_random_08,12675.0,7403.0,5272.0,716
v17-coarse-018,coarse_random_09,12584.0,7403.0,5181.0,721
v17-coarse-019,coarse_random_10,12739.0,7403.0,5336.0,719
v17-coarse-020,coarse_random_11,12564.0,7403.0,5161.0,720
v17-coarse-021,coarse_random_12,12582.0,7403.0,5179.0,717
v17-coarse-022,coarse_random_13,12738.0,7403.0,5335.0,734
v17-coarse-023,coarse_random_14,12012.0,7403.0,4609.0,741
v17-coarse-024,coarse_random_15,12434.0,7403.0,5031.0,719
v17-coarse-025,coarse_random_16,12739.0,7403.0,5336.0,714
v17-coarse-026,coarse_random_17,12672.0,7403.0,5269.0,716
v17-coarse-027,coarse_random_18,12610.0,7403.0,5207.0,719
v17-coarse-028,coarse_random_19,12701.0,7403.0,5298.0,724
v17-coarse-029,coarse_random_20,12769.0,7403.0,5366.0,714
v17-coarse-030,coarse_random_21,12372.0,7403.0,4969.0,729
v17-coarse-031,coarse_random_22,12761.0,7403.0,5358.0,723
v17-coarse-032,coarse_random_23,12669.0,7403.0,5266.0,717
v17-coarse-033,coarse_random_24,12619.0,7403.0,5216.0,727
v17-coarse-034,coarse_random_25,12721.0,7403.0,5318.0,716
v17-coarse-035,coarse_random_26,12482.0,7403.0,5079.0,714
v17-coarse-036,coarse_random_27,12670.0,7403.0,5267.0,717
v17-coarse-037,coarse_random_28,12898.0,7403.0,5495.0,712
v17-coarse-038,coarse_random_29,12581.0,7403.0,5178.0,719
v17-coarse-039,coarse_random_30,12794.0,7403.0,5391.0,715
