run_id,label,total_pnl,emeralds_pnl,tomatoes_pnl,trade_count,overrides_json
v18-sweep-001,baseline_v18,13291.0,7403.0,5888.0,723,"{""BASE_QUOTE_EDGE"": 2.25, ""BASE_TAKE_EDGE"": 1.45, ""FIT_THRESHOLD"": 0.65, ""HISTORY_WEIGHT"": 0.25, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.06, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 8, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""REGRESSION_HORIZON"": 1.5, ""REGRESSION_WEIGHT"": 0.2, ""REGRESSION_WINDOW"": 8, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.55, ""STRONG_TREND_EDGE"": 3.5, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_EDGE_THRESHOLD"": 1.5, ""TREND_IMBALANCE_THRESHOLD"": 0.12}"
v18-sweep-002,predictive_soft,10094.0,7403.0,2691.0,739,"{""BASE_QUOTE_EDGE"": 2.25, ""BASE_TAKE_EDGE"": 1.45, ""FIT_THRESHOLD"": 0.7, ""HISTORY_WEIGHT"": 0.25, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.06, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 8, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""REGRESSION_HORIZON"": 1.0, ""REGRESSION_WEIGHT"": 0.15, ""REGRESSION_WINDOW"": 8, ""RESIDUAL_REVERT_WEIGHT"": 0.1, ""SOFT_LIMIT_RATIO"": 0.55, ""STRONG_TREND_EDGE"": 3.5, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_EDGE_THRESHOLD"": 1.75, ""TREND_IMBALANCE_THRESHOLD"": 0.12}"
v18-sweep-003,predictive_strong,2165.0,7403.0,-5238.0,683,"{""BASE_QUOTE_EDGE"": 2.5, ""BASE_TAKE_EDGE"": 1.35, ""FIT_THRESHOLD"": 0.55, ""HISTORY_WEIGHT"": 0.25, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.06, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 8, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""REGRESSION_HORIZON"": 2.5, ""REGRESSION_WEIGHT"": 0.35, ""REGRESSION_WINDOW"": 8, ""RESIDUAL_REVERT_WEIGHT"": 0.05, ""SOFT_LIMIT_RATIO"": 0.55, ""STRONG_TREND_EDGE"": 3.5, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_EDGE_THRESHOLD"": 1.25, ""TREND_IMBALANCE_THRESHOLD"": 0.12}"
v18-sweep-004,range_lean,10094.0,7403.0,2691.0,739,"{""BASE_QUOTE_EDGE"": 2.0, ""BASE_TAKE_EDGE"": 1.6, ""FIT_THRESHOLD"": 0.75, ""HISTORY_WEIGHT"": 0.25, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.06, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 8, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""REGRESSION_HORIZON"": 1.5, ""REGRESSION_WEIGHT"": 0.1, ""REGRESSION_WINDOW"": 8, ""RESIDUAL_REVERT_WEIGHT"": 0.2, ""SOFT_LIMIT_RATIO"": 0.55, ""STRONG_TREND_EDGE"": 3.5, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_EDGE_THRESHOLD"": 2.25, ""TREND_IMBALANCE_THRESHOLD"": 0.12}"
v18-sweep-005,trend_lean,2165.0,7403.0,-5238.0,683,"{""BASE_QUOTE_EDGE"": 2.5, ""BASE_TAKE_EDGE"": 1.35, ""FIT_THRESHOLD"": 0.55, ""HISTORY_WEIGHT"": 0.25, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.06, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 8, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.3, ""REGRESSION_WINDOW"": 8, ""RESIDUAL_REVERT_WEIGHT"": 0.0, ""SOFT_LIMIT_RATIO"": 0.55, ""STRONG_TREND_EDGE"": 3.5, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_EDGE_THRESHOLD"": 1.25, ""TREND_IMBALANCE_THRESHOLD"": 0.08}"
v18-sweep-006,faster_horizon,2165.0,7403.0,-5238.0,683,"{""BASE_QUOTE_EDGE"": 2.25, ""BASE_TAKE_EDGE"": 1.35, ""FIT_THRESHOLD"": 0.65, ""HISTORY_WEIGHT"": 0.25, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.06, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 8, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""REGRESSION_HORIZON"": 1.0, ""REGRESSION_WEIGHT"": 0.25, ""REGRESSION_WINDOW"": 8, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.55, ""STRONG_TREND_EDGE"": 3.5, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_EDGE_THRESHOLD"": 1.5, ""TREND_IMBALANCE_THRESHOLD"": 0.12}"
v18-sweep-007,slower_horizon,2165.0,7403.0,-5238.0,683,"{""BASE_QUOTE_EDGE"": 2.75, ""BASE_TAKE_EDGE"": 1.55, ""FIT_THRESHOLD"": 0.65, ""HISTORY_WEIGHT"": 0.25, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.06, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 8, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 8, ""REGRESSION_HORIZON"": 3.0, ""REGRESSION_WEIGHT"": 0.3, ""REGRESSION_WINDOW"": 8, ""RESIDUAL_REVERT_WEIGHT"": 0.12, ""SOFT_LIMIT_RATIO"": 0.55, ""STRONG_TREND_EDGE"": 3.5, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_EDGE_THRESHOLD"": 1.5, ""TREND_IMBALANCE_THRESHOLD"": 0.12}"
v18-sweep-008,regression_random_01,10059.0,7403.0,2656.0,739,"{""BASE_QUOTE_EDGE"": 2.75, ""BASE_TAKE_EDGE"": 1.35, ""FIT_THRESHOLD"": 0.75, ""HISTORY_WEIGHT"": 0.25, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.06, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 10, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 6, ""REGRESSION_HORIZON"": 1.0, ""REGRESSION_WEIGHT"": 0.1, ""REGRESSION_WINDOW"": 8, ""RESIDUAL_REVERT_WEIGHT"": 0.08, ""SOFT_LIMIT_RATIO"": 0.55, ""STRONG_TREND_EDGE"": 3.5, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_EDGE_THRESHOLD"": 2.25, ""TREND_IMBALANCE_THRESHOLD"": 0.18}"
v18-sweep-009,regression_random_02,10094.0,7403.0,2691.0,739,"{""BASE_QUOTE_EDGE"": 2.0, ""BASE_TAKE_EDGE"": 1.6, ""FIT_THRESHOLD"": 0.65, ""HISTORY_WEIGHT"": 0.25, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.06, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 8, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 6, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.1, ""REGRESSION_WINDOW"": 8, ""RESIDUAL_REVERT_WEIGHT"": 0.08, ""SOFT_LIMIT_RATIO"": 0.55, ""STRONG_TREND_EDGE"": 3.5, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_EDGE_THRESHOLD"": 1.5, ""TREND_IMBALANCE_THRESHOLD"": 0.08}"
v18-sweep-010,regression_random_03,10094.0,7403.0,2691.0,739,"{""BASE_QUOTE_EDGE"": 2.75, ""BASE_TAKE_EDGE"": 1.6, ""FIT_THRESHOLD"": 0.75, ""HISTORY_WEIGHT"": 0.25, ""IMBALANCE_WEIGHT"": 0.35, ""INVENTORY_SKEW"": 0.06, ""MAX_QUOTE_EDGE"": 5.0, ""MAX_TAKE_SIZE"": 8, ""MICRO_WEIGHT"": 0.3, ""MID_WEIGHT"": 0.25, ""PASSIVE_SIZE"": 10, ""REGRESSION_HORIZON"": 2.0, ""REGRESSION_WEIGHT"": 0.1, ""REGRESSION_WINDOW"": 8, ""RESIDUAL_REVERT_WEIGHT"": 0.08, ""SOFT_LIMIT_RATIO"": 0.55, ""STRONG_TREND_EDGE"": 3.5, ""TOXIC_SPREAD_THRESHOLD"": 15.0, ""TOXIC_VOLATILITY_THRESHOLD"": 3.2, ""TREND_EDGE_THRESHOLD"": 2.25, ""TREND_IMBALANCE_THRESHOLD"": 0.18}"
