label,family,total,emeralds,tomatoes,trade_count
baseline_v27_1,baseline,13956.00,7403.00,6553.00,721
sell_patience,designed,13897.00,7403.00,6494.00,721
faster_trend_commit,designed,13807.00,7403.00,6404.00,722
gamma_light,designed,13842.00,7403.00,6439.00,723
gamma_heavy,designed,13862.00,7403.00,6459.00,724
wide_mm,designed,14038.00,7403.00,6635.00,721
tighter_mm,designed,13736.00,7403.00,6333.00,721
alpha_spread_sell_hold,designed,13856.00,7403.00,6453.00,722
reservation_flip_light,designed,13926.00,7403.00,6523.00,721
broad_random_01,random,13919.00,7403.00,6516.00,721
broad_random_02,random,13854.00,7403.00,6451.00,720
broad_random_03,random,13896.00,7403.00,6493.00,720
broad_random_04,random,14033.00,7403.00,6630.00,719
broad_random_05,random,13679.00,7403.00,6276.00,722
broad_random_06,random,14045.00,7403.00,6642.00,718
broad_random_07,random,13801.00,7403.00,6398.00,721
broad_random_08,random,13894.00,7403.00,6491.00,720
broad_random_09,random,13966.00,7403.00,6563.00,721
broad_random_10,random,13954.00,7403.00,6551.00,719
broad_random_11,random,14020.00,7403.00,6617.00,722
broad_random_12,random,13827.00,7403.00,6424.00,722
broad_random_13,random,13806.00,7403.00,6403.00,720
broad_random_14,random,13873.00,7403.00,6470.00,722
broad_random_15,random,13723.00,7403.00,6320.00,719
broad_random_16,random,13836.00,7403.00,6433.00,721
broad_random_17,random,13875.00,7403.00,6472.00,722
broad_random_18,random,13930.00,7403.00,6527.00,721
broad_random_19,random,14134.00,7403.00,6731.00,719
broad_random_20,random,13852.00,7403.00,6449.00,721
broad_random_21,random,13901.00,7403.00,6498.00,722
broad_random_22,random,14236.00,7403.00,6833.00,722
broad_random_23,random,13845.00,7403.00,6442.00,719
broad_random_24,random,13944.00,7403.00,6541.00,721
broad_random_25,random,14066.00,7403.00,6663.00,721
broad_random_26,random,13767.00,7403.00,6364.00,722
broad_random_27,random,13977.00,7403.00,6574.00,722
broad_random_28,random,14111.00,7403.00,6708.00,722
broad_random_29,random,13965.00,7403.00,6562.00,722
broad_random_30,random,13995.00,7403.00,6592.00,722
broad_random_31,random,13983.00,7403.00,6580.00,720
broad_random_32,random,13758.00,7403.00,6355.00,722
broad_random_33,random,14054.00,7403.00,6651.00,720
broad_random_34,random,14145.00,7403.00,6742.00,722
broad_random_35,random,13667.00,7403.00,6264.00,722
broad_random_36,random,14171.00,7403.00,6768.00,722
broad_random_37,random,13970.00,7403.00,6567.00,722
broad_random_38,random,13798.00,7403.00,6395.00,722
broad_random_39,random,13826.00,7403.00,6423.00,721
broad_random_40,random,13853.00,7403.00,6450.00,721
broad_random_41,random,13709.00,7403.00,6306.00,725
broad_random_42,random,13710.00,7403.00,6307.00,720
broad_random_43,random,14037.00,7403.00,6634.00,721
broad_random_44,random,14061.00,7403.00,6658.00,720
broad_random_45,random,13775.00,7403.00,6372.00,722
broad_random_46,random,13831.00,7403.00,6428.00,721
broad_random_47,random,13857.00,7403.00,6454.00,718
broad_random_48,random,13999.00,7403.00,6596.00,720
