label,family,total,emeralds,tomatoes,trade_count
baseline_v27_2_region,baseline,14236.0,7403.0,6833.0,722
spread_heavy_plus,designed,14298.0,7403.0,6895.0,722
reservation_heavy_plus,designed,13925.0,7403.0,6522.0,729
sell_patience_plus,designed,13932.0,7403.0,6529.0,722
alpha_plus,designed,14238.0,7403.0,6835.0,722
spread_reservation_mix,designed,13963.0,7403.0,6560.0,726
spread_sell_mix,designed,13992.0,7403.0,6589.0,722
reservation_sell_mix,designed,13925.0,7403.0,6522.0,729
balanced_push,designed,13999.0,7403.0,6596.0,722
region_random_01,random,13938.0,7403.0,6535.0,719
region_random_02,random,13969.0,7403.0,6566.0,722
region_random_03,random,13933.0,7403.0,6530.0,721
region_random_04,random,13954.0,7403.0,6551.0,722
region_random_05,random,14114.0,7403.0,6711.0,721
region_random_06,random,14106.0,7403.0,6703.0,721
region_random_07,random,14045.0,7403.0,6642.0,722
region_random_08,random,14109.0,7403.0,6706.0,722
region_random_09,random,14090.0,7403.0,6687.0,722
region_random_10,random,14261.0,7403.0,6858.0,722
region_random_11,random,14032.0,7403.0,6629.0,723
region_random_12,random,14049.0,7403.0,6646.0,724
region_random_13,random,14005.0,7403.0,6602.0,722
region_random_14,random,14011.0,7403.0,6608.0,721
region_random_15,random,14025.0,7403.0,6622.0,724
region_random_16,random,14010.0,7403.0,6607.0,722
region_random_17,random,14068.0,7403.0,6665.0,723
region_random_18,random,14292.0,7403.0,6889.0,722
region_random_19,random,14030.0,7403.0,6627.0,726
region_random_20,random,13942.0,7403.0,6539.0,724
region_random_21,random,13983.0,7403.0,6580.0,722
region_random_22,random,14059.0,7403.0,6656.0,720
region_random_23,random,14118.0,7403.0,6715.0,721
region_random_24,random,14128.0,7403.0,6725.0,725
region_random_25,random,14097.0,7403.0,6694.0,722
region_random_26,random,13979.0,7403.0,6576.0,726
region_random_27,random,14039.0,7403.0,6636.0,721
region_random_28,random,13927.0,7403.0,6524.0,721
region_random_29,random,14030.0,7403.0,6627.0,721
region_random_30,random,13962.0,7403.0,6559.0,723
region_random_31,random,13828.0,7403.0,6425.0,722
region_random_32,random,14120.0,7403.0,6717.0,725
region_random_33,random,14093.0,7403.0,6690.0,725
region_random_34,random,13995.0,7403.0,6592.0,720
region_random_35,random,14029.0,7403.0,6626.0,722
region_random_36,random,13903.0,7403.0,6500.0,722
region_random_37,random,14037.0,7403.0,6634.0,725
region_random_38,random,13946.0,7403.0,6543.0,721
region_random_39,random,13987.0,7403.0,6584.0,720
region_random_40,random,14016.0,7403.0,6613.0,721
region_random_41,random,14068.0,7403.0,6665.0,721
region_random_42,random,14081.0,7403.0,6678.0,720
region_random_43,random,13995.0,7403.0,6592.0,721
region_random_44,random,14021.0,7403.0,6618.0,727
region_random_45,random,14343.0,7403.0,6940.0,722
region_random_46,random,14004.0,7403.0,6601.0,720
region_random_47,random,14155.0,7403.0,6752.0,721
region_random_48,random,14209.0,7403.0,6806.0,722
region_random_49,random,13969.0,7403.0,6566.0,720
region_random_50,random,13931.0,7403.0,6528.0,726
region_random_51,random,14087.0,7403.0,6684.0,720
region_random_52,random,13948.0,7403.0,6545.0,721
region_random_53,random,14350.0,7403.0,6947.0,722
region_random_54,random,14001.0,7403.0,6598.0,721
