label,family,total,emeralds,tomatoes,trade_count
baseline_v27_3,baseline,14350.0,7403.0,6947.0,722
spread_plus,designed,14384.0,7403.0,6981.0,722
imbalance_plus,designed,14352.0,7403.0,6949.0,722
take_hold_balance,designed,14350.0,7403.0,6947.0,722
reservation_recenter,designed,13999.0,7403.0,6596.0,726
quote_lift_plus,designed,14350.0,7403.0,6947.0,722
high_conviction_combo,designed,14103.0,7403.0,6700.0,721
combo_random_01,random,14195.0,7403.0,6792.0,720
combo_random_02,random,14061.0,7403.0,6658.0,724
combo_random_03,random,13939.0,7403.0,6536.0,720
combo_random_04,random,13827.0,7403.0,6424.0,723
combo_random_05,random,13908.0,7403.0,6505.0,722
combo_random_06,random,14189.0,7403.0,6786.0,721
combo_random_07,random,14206.0,7403.0,6803.0,720
combo_random_08,random,14062.0,7403.0,6659.0,722
combo_random_09,random,14103.0,7403.0,6700.0,720
combo_random_10,random,14170.0,7403.0,6767.0,725
combo_random_11,random,14175.0,7403.0,6772.0,721
combo_random_12,random,14129.0,7403.0,6726.0,721
combo_random_13,random,14157.0,7403.0,6754.0,722
combo_random_14,random,14150.0,7403.0,6747.0,721
combo_random_15,random,14083.0,7403.0,6680.0,721
combo_random_16,random,14214.0,7403.0,6811.0,723
combo_random_17,random,14219.0,7403.0,6816.0,720
combo_random_18,random,14073.0,7403.0,6670.0,726
combo_random_19,random,14132.0,7403.0,6729.0,721
combo_random_20,random,14030.0,7403.0,6627.0,724
combo_random_21,random,14178.0,7403.0,6775.0,721
combo_random_22,random,14096.0,7403.0,6693.0,720
combo_random_23,random,14151.0,7403.0,6748.0,721
combo_random_24,random,14361.0,7403.0,6958.0,722
combo_random_25,random,14079.0,7403.0,6676.0,725
combo_random_26,random,14328.0,7403.0,6925.0,722
combo_random_27,random,14337.0,7403.0,6934.0,722
combo_random_28,random,14329.0,7403.0,6926.0,722
combo_random_29,random,14045.0,7403.0,6642.0,724
combo_random_30,random,14010.0,7403.0,6607.0,722
combo_random_31,random,14136.0,7403.0,6733.0,721
combo_random_32,random,13965.0,7403.0,6562.0,723
combo_random_33,random,13980.0,7403.0,6577.0,722
combo_random_34,random,14085.0,7403.0,6682.0,720
combo_random_35,random,13980.0,7403.0,6577.0,726
combo_random_36,random,14172.0,7403.0,6769.0,721
combo_random_37,random,14344.0,7403.0,6941.0,722
combo_random_38,random,14104.0,7403.0,6701.0,721
combo_random_39,random,14170.0,7403.0,6767.0,721
combo_random_40,random,14328.0,7403.0,6925.0,722
combo_random_41,random,14186.0,7403.0,6783.0,720
combo_random_42,random,13999.0,7403.0,6596.0,722
combo_random_43,random,14359.0,7403.0,6956.0,722
combo_random_44,random,14047.0,7403.0,6644.0,722
combo_random_45,random,13980.0,7403.0,6577.0,722
combo_random_46,random,14158.0,7403.0,6755.0,721
combo_random_47,random,14328.0,7403.0,6925.0,722
combo_random_48,random,14013.0,7403.0,6610.0,722
combo_random_49,random,14346.0,7403.0,6943.0,722
combo_random_50,random,14030.0,7403.0,6627.0,722
combo_random_51,random,14098.0,7403.0,6695.0,720
combo_random_52,random,14119.0,7403.0,6716.0,721
combo_random_53,random,14113.0,7403.0,6710.0,720
combo_random_54,random,14111.0,7403.0,6708.0,721
combo_random_55,random,14243.0,7403.0,6840.0,725
combo_random_56,random,14187.0,7403.0,6784.0,720
combo_random_57,random,13904.0,7403.0,6501.0,726
combo_random_58,random,14147.0,7403.0,6744.0,723
combo_random_59,random,14108.0,7403.0,6705.0,728
combo_random_60,random,14015.0,7403.0,6612.0,722
combo_random_61,random,14130.0,7403.0,6727.0,721
combo_random_62,random,13962.0,7403.0,6559.0,726
combo_random_63,random,14126.0,7403.0,6723.0,722
combo_random_64,random,14167.0,7403.0,6764.0,721
combo_random_65,random,14101.0,7403.0,6698.0,725
combo_random_66,random,14139.0,7403.0,6736.0,721
combo_random_67,random,13952.0,7403.0,6549.0,723
combo_random_68,random,14142.0,7403.0,6739.0,728
combo_random_69,random,14176.0,7403.0,6773.0,721
combo_random_70,random,14027.0,7403.0,6624.0,722
combo_random_71,random,14001.0,7403.0,6598.0,726
combo_random_72,random,14322.0,7403.0,6919.0,722
