label,day_m1,day_m2,avg,delta_vs_baseline,overrides_json
sb95_lb30,13225.0,13176.5,13200.8,+43.0,"{""OFFLINE_LONG_BLEND"": 0.3, ""OFFLINE_SHORT_BLEND"": 0.95}"
sb65_lb60,13144.0,13179.5,13161.8,+4.0,"{""OFFLINE_LONG_BLEND"": 0.6, ""OFFLINE_SHORT_BLEND"": 0.65}"
combined_aggressive,13144.0,13173.0,13158.5,+0.8,"{""MAX_TAKE_SIZE"": 12, ""OFFLINE_LONG_BLEND"": 0.45, ""OFFLINE_SHORT_BLEND"": 0.95, ""SOFT_LIMIT_RATIO"": 0.85, ""TREND_PASSIVE_SIZE_BONUS"": 4.0}"
baseline,13139.0,13176.5,13157.8,+0.0,{}
sl65_pb30,13139.0,13176.5,13157.8,+0.0,"{""SOFT_LIMIT_RATIO"": 0.65, ""TREND_PASSIVE_SIZE_BONUS"": 3.0}"
sl65_pb40,13139.0,13176.5,13157.8,+0.0,"{""SOFT_LIMIT_RATIO"": 0.65, ""TREND_PASSIVE_SIZE_BONUS"": 4.0}"
sl75_pb20,13139.0,13176.5,13157.8,+0.0,"{""SOFT_LIMIT_RATIO"": 0.75, ""TREND_PASSIVE_SIZE_BONUS"": 2.0}"
sl75_pb30,13139.0,13176.5,13157.8,+0.0,"{""SOFT_LIMIT_RATIO"": 0.75, ""TREND_PASSIVE_SIZE_BONUS"": 3.0}"
sl75_pb40,13139.0,13176.5,13157.8,+0.0,"{""SOFT_LIMIT_RATIO"": 0.75, ""TREND_PASSIVE_SIZE_BONUS"": 4.0}"
sl85_pb20,13139.0,13176.5,13157.8,+0.0,"{""SOFT_LIMIT_RATIO"": 0.85, ""TREND_PASSIVE_SIZE_BONUS"": 2.0}"
sl85_pb30,13139.0,13176.5,13157.8,+0.0,"{""SOFT_LIMIT_RATIO"": 0.85, ""TREND_PASSIVE_SIZE_BONUS"": 3.0}"
sl85_pb40,13139.0,13176.5,13157.8,+0.0,"{""SOFT_LIMIT_RATIO"": 0.85, ""TREND_PASSIVE_SIZE_BONUS"": 4.0}"
sb80_lb60,13064.0,13240.5,13152.2,-5.5,"{""OFFLINE_LONG_BLEND"": 0.6, ""OFFLINE_SHORT_BLEND"": 0.8}"
sb95_lb45,13049.0,13235.5,13142.2,-15.5,"{""OFFLINE_LONG_BLEND"": 0.45, ""OFFLINE_SHORT_BLEND"": 0.95}"
sl85_pb40_mt12,13073.0,13153.5,13113.2,-44.5,"{""MAX_TAKE_SIZE"": 12, ""SOFT_LIMIT_RATIO"": 0.85, ""TREND_PASSIVE_SIZE_BONUS"": 4.0}"
sl85_pb40_mt15,13073.0,13153.5,13113.2,-44.5,"{""MAX_TAKE_SIZE"": 15, ""SOFT_LIMIT_RATIO"": 0.85, ""TREND_PASSIVE_SIZE_BONUS"": 4.0}"
combined_balanced,13018.0,13173.0,13095.5,-62.2,"{""MAX_TAKE_SIZE"": 12, ""OFFLINE_LONG_BLEND"": 0.6, ""OFFLINE_SHORT_BLEND"": 0.8, ""SOFT_LIMIT_RATIO"": 0.75, ""TREND_PASSIVE_SIZE_BONUS"": 3.0}"
sb95_lb60,13049.0,13125.5,13087.2,-70.5,"{""OFFLINE_LONG_BLEND"": 0.6, ""OFFLINE_SHORT_BLEND"": 0.95}"
sb65_lb45,13128.0,12797.5,12962.8,-195.0,"{""OFFLINE_LONG_BLEND"": 0.45, ""OFFLINE_SHORT_BLEND"": 0.65}"
sb80_lb30,13128.0,12794.5,12961.2,-196.5,"{""OFFLINE_LONG_BLEND"": 0.3, ""OFFLINE_SHORT_BLEND"": 0.8}"
sb65_lb30,12999.0,12860.0,12929.5,-228.2,"{""OFFLINE_LONG_BLEND"": 0.3, ""OFFLINE_SHORT_BLEND"": 0.65}"
