label,family,score,day_neg1_total,day_neg2_total,avg_total,delta_day_neg1,delta_day_neg2,delta_avg_total,day_neg1_tomatoes,day_neg2_tomatoes,day_neg1_emeralds,day_neg2_emeralds,BOOK_ACTIVITY_FLOOR,BOOK_STEP_WEIGHT,BOOK_DEPLETION_WEIGHT,MICRO_DRIFT_WEIGHT,PRESSURE_BIAS_SCALE,BREAKOUT_FOLLOW_SCALE,BREAKOUT_QUOTE_TIGHTEN,BREAKOUT_HOLD_BONUS
coord_breakout_follow_scale_down,coordinate,14783.1,14868.0,14726.5,14797.25,0.0,106.0,53.0,7345.0,7787.5,7523.0,6939.0,0.6,0.85,0.65,0.55,0.22,0.145,0.18,0.12
coord_breakout_hold_bonus_down,coordinate,14783.1,14868.0,14726.5,14797.25,0.0,106.0,53.0,7345.0,7787.5,7523.0,6939.0,0.6,0.85,0.65,0.55,0.22,0.18,0.18,0.09
random_004,random,14783.1,14868.0,14726.5,14797.25,0.0,106.0,53.0,7345.0,7787.5,7523.0,6939.0,0.65147839,0.86519435,0.67874424,0.56270591,0.1608788,0.1818422,0.15224482,0.11479172
random_012,random,14783.1,14868.0,14726.5,14797.25,0.0,106.0,53.0,7345.0,7787.5,7523.0,6939.0,0.65071601,0.89676504,0.72474847,0.5831682,0.20663967,0.18341499,0.20861278,0.07715848
random_013,random,14783.1,14868.0,14726.5,14797.25,0.0,106.0,53.0,7345.0,7787.5,7523.0,6939.0,0.65468433,0.89013559,0.5680354,0.62028942,0.20192353,0.11668695,0.15851371,0.120903
random_016,random,14783.1,14868.0,14726.5,14797.25,0.0,106.0,53.0,7345.0,7787.5,7523.0,6939.0,0.62585252,0.86792443,0.52139302,0.57530502,0.16176365,0.14749994,0.12351609,0.13263575
random_031,random,14783.1,14868.0,14726.5,14797.25,0.0,106.0,53.0,7345.0,7787.5,7523.0,6939.0,0.548924,0.80822382,0.67806288,0.57605752,0.18428141,0.1980012,0.13258834,0.0940093
coord_book_activity_floor_up,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.69,0.85,0.65,0.55,0.22,0.18,0.18,0.12
coord_book_step_weight_down,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.725,0.65,0.55,0.22,0.18,0.18,0.12
coord_book_depletion_weight_down,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.85,0.54,0.55,0.22,0.18,0.18,0.12
