label,family,score,day_neg1_total,day_neg2_total,avg_total,delta_day_neg1,delta_day_neg2,delta_avg_total,day_neg1_tomatoes,day_neg2_tomatoes,day_neg1_emeralds,day_neg2_emeralds,BOOK_ACTIVITY_FLOOR,BOOK_STEP_WEIGHT,BOOK_DEPLETION_WEIGHT,MICRO_DRIFT_WEIGHT,PRESSURE_BIAS_SCALE,BREAKOUT_FOLLOW_SCALE,BREAKOUT_QUOTE_TIGHTEN,BREAKOUT_HOLD_BONUS
coord_breakout_follow_scale_down,coordinate,14783.1,14868.0,14726.5,14797.25,0.0,106.0,53.0,7345.0,7787.5,7523.0,6939.0,0.6,0.85,0.65,0.55,0.22,0.145,0.18,0.12
coord_breakout_hold_bonus_down,coordinate,14783.1,14868.0,14726.5,14797.25,0.0,106.0,53.0,7345.0,7787.5,7523.0,6939.0,0.6,0.85,0.65,0.55,0.22,0.18,0.18,0.09
random_004,random,14783.1,14868.0,14726.5,14797.25,0.0,106.0,53.0,7345.0,7787.5,7523.0,6939.0,0.65147839,0.86519435,0.67874424,0.56270591,0.1608788,0.1818422,0.15224482,0.11479172
coord_book_activity_floor_up,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.69,0.85,0.65,0.55,0.22,0.18,0.18,0.12
coord_book_step_weight_down,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.725,0.65,0.55,0.22,0.18,0.18,0.12
coord_book_depletion_weight_down,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.85,0.54,0.55,0.22,0.18,0.18,0.12
coord_micro_drift_weight_down,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.85,0.65,0.46,0.22,0.18,0.18,0.12
coord_micro_drift_weight_up,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.85,0.65,0.64,0.22,0.18,0.18,0.12
coord_pressure_bias_scale_down,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.85,0.65,0.55,0.18,0.18,0.18,0.12
coord_pressure_bias_scale_up,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.85,0.65,0.55,0.26,0.18,0.18,0.12
coord_breakout_follow_scale_up,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.85,0.65,0.55,0.22,0.215,0.18,0.12
coord_breakout_quote_tighten_down,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.85,0.65,0.55,0.22,0.18,0.14,0.12
coord_breakout_quote_tighten_up,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.85,0.65,0.55,0.22,0.18,0.22,0.12
coord_breakout_hold_bonus_up,coordinate,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.6,0.85,0.65,0.55,0.22,0.18,0.18,0.15
random_006,random,14719.5,14868.0,14620.5,14744.25,0.0,0.0,0.0,7345.0,7681.5,7523.0,6939.0,0.65614765,0.90166761,0.72459227,0.48884475,0.23592661,0.19279536,0.18085012,0.14121943
coord_book_activity_floor_down,coordinate,14707.25,14861.0,14620.5,14740.75,-7.0,0.0,-3.5,7338.0,7681.5,7523.0,6939.0,0.51,0.85,0.65,0.55,0.22,0.18,0.18,0.12
coord_book_step_weight_up,coordinate,14619.75,14811.0,14620.5,14715.75,-57.0,0.0,-28.5,7288.0,7681.5,7523.0,6939.0,0.6,0.975,0.65,0.55,0.22,0.18,0.18,0.12
random_003,random,14619.75,14811.0,14620.5,14715.75,-57.0,0.0,-28.5,7288.0,7681.5,7523.0,6939.0,0.66936544,0.94843507,0.71487453,0.44680223,0.17101538,0.16318028,0.16798655,0.13124367
random_005,random,14613.15,14775.0,14714.5,14744.75,-93.0,94.0,0.5,7252.0,7775.5,7523.0,6939.0,0.44385804,0.88630872,0.72683261,0.43667823,0.22616759,0.12516952,0.16711166,0.09386529
random_001,random,14452.6,14684.0,14726.5,14705.25,-184.0,106.0,-39.0,7161.0,7787.5,7523.0,6939.0,0.63022344,0.7070062,0.67454984,0.60357314,0.24335494,0.18104346,0.18987372,0.11156021
random_002,random,14452.6,14684.0,14726.5,14705.25,-184.0,106.0,-39.0,7161.0,7787.5,7523.0,6939.0,0.60497461,0.71611238,0.68711778,0.56728991,0.20007191,0.17090988,0.19706948,0.11653245
coord_book_depletion_weight_up,coordinate,14397.5,14684.0,14620.5,14652.25,-184.0,0.0,-92.0,7161.0,7681.5,7523.0,6939.0,0.6,0.85,0.76,0.55,0.22,0.18,0.18,0.12
random_007,random,14397.5,14684.0,14620.5,14652.25,-184.0,0.0,-92.0,7161.0,7681.5,7523.0,6939.0,0.62123424,0.78801865,0.69346648,0.54659033,0.19221893,0.1878106,0.12486091,0.11686193
random_008,random,14397.5,14684.0,14620.5,14652.25,-184.0,0.0,-92.0,7161.0,7681.5,7523.0,6939.0,0.6099433,0.61781213,0.68056252,0.44559859,0.23119609,0.16781931,0.11941639,0.14482438
