label,run_id,total,emeralds,tomatoes,trades,params_json
wall_22,v39-4-wall-23,15764.0,7723.0,8041.0,693,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_49,v39-4-wall-50,15764.0,7723.0,8041.0,693,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_50,v39-4-wall-51,15764.0,7723.0,8041.0,693,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_76,v39-4-wall-77,15764.0,7723.0,8041.0,693,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_77,v39-4-wall-78,15764.0,7723.0,8041.0,693,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_17,v39-4-wall-18,15710.0,7723.0,7987.0,689,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_44,v39-4-wall-45,15710.0,7723.0,7987.0,689,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_45,v39-4-wall-46,15710.0,7723.0,7987.0,689,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_26,v39-4-wall-27,15663.0,7723.0,7940.0,689,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_27,v39-4-wall-28,15663.0,7723.0,7940.0,689,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_80,v39-4-wall-81,15663.0,7723.0,7940.0,689,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_18,v39-4-wall-19,15652.0,7723.0,7929.0,691,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_19,v39-4-wall-20,15652.0,7723.0,7929.0,691,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_72,v39-4-wall-73,15652.0,7723.0,7929.0,691,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_23,v39-4-wall-24,15651.0,7723.0,7928.0,688,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_24,v39-4-wall-25,15651.0,7723.0,7928.0,688,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_46,v39-4-wall-47,15644.0,7723.0,7921.0,684,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_73,v39-4-wall-74,15644.0,7723.0,7921.0,684,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
