label,run_id,total,emeralds,tomatoes,trades,params_json
alpha_richer_quote_tighter,v39-sweep-03,15931.0,7723.0,8208.0,742,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.4153631, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.42, ""RANGE_RESERVATION_BIAS"": 0.26486122}"
v39_rand_17,v39-sweep-20,15930.0,7723.0,8207.0,703,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.42, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.22}"
v39_rand_30,v39-sweep-33,15848.0,7723.0,8125.0,713,"{""ALPHA_BLEND_WEIGHT"": 0.22, ""ALPHA_EDGE_SCALE"": 1.42, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_36,v39-sweep-39,15840.0,7723.0,8117.0,713,"{""ALPHA_BLEND_WEIGHT"": 0.22, ""ALPHA_EDGE_SCALE"": 1.42, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_19,v39-sweep-22,15830.0,7723.0,8107.0,699,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.42, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_31,v39-sweep-34,15830.0,7723.0,8107.0,699,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.42, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_27,v39-sweep-30,15829.0,7723.0,8106.0,695,"{""ALPHA_BLEND_WEIGHT"": 0.22, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.22}"
v39_rand_45,v39-sweep-48,15810.0,7723.0,8087.0,733,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.3, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_18,v39-sweep-21,15783.0,7723.0,8060.0,712,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_06,v39-sweep-09,15766.0,7723.0,8043.0,722,"{""ALPHA_BLEND_WEIGHT"": 0.22, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.36, ""RANGE_RESERVATION_BIAS"": 0.22}"
v39_rand_16,v39-sweep-19,15763.0,7723.0,8040.0,733,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.3, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_40,v39-sweep-43,15761.0,7723.0,8038.0,745,"{""ALPHA_BLEND_WEIGHT"": 0.16, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_03,v39-sweep-06,15733.0,7723.0,8010.0,716,"{""ALPHA_BLEND_WEIGHT"": 0.22, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_37,v39-sweep-40,15732.0,7723.0,8009.0,732,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.42, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_23,v39-sweep-26,15726.0,7723.0,8003.0,702,"{""ALPHA_BLEND_WEIGHT"": 0.16, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.22}"
v39_rand_11,v39-sweep-14,15725.0,7723.0,8002.0,738,"{""ALPHA_BLEND_WEIGHT"": 0.1, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_09,v39-sweep-12,15722.0,7723.0,7999.0,709,"{""ALPHA_BLEND_WEIGHT"": 0.22, ""ALPHA_EDGE_SCALE"": 1.42, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.22}"
v39_rand_07,v39-sweep-10,15718.0,7723.0,7995.0,720,"{""ALPHA_BLEND_WEIGHT"": 0.1, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_13,v39-sweep-16,15718.0,7723.0,7995.0,720,"{""ALPHA_BLEND_WEIGHT"": 0.1, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_35,v39-sweep-38,15714.0,7723.0,7991.0,701,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.3, ""RANGE_RESERVATION_BIAS"": 0.22}"
v39_rand_29,v39-sweep-32,15703.0,7723.0,7980.0,730,"{""ALPHA_BLEND_WEIGHT"": 0.16, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_32,v39-sweep-35,15673.0,7723.0,7950.0,719,"{""ALPHA_BLEND_WEIGHT"": 0.22, ""ALPHA_EDGE_SCALE"": 1.42, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_05,v39-sweep-08,15669.0,7723.0,7946.0,709,"{""ALPHA_BLEND_WEIGHT"": 0.1, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.22}"
v39_rand_08,v39-sweep-11,15654.0,7723.0,7931.0,741,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.36, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_41,v39-sweep-44,15639.0,7723.0,7916.0,712,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.3, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_14,v39-sweep-17,15635.0,7723.0,7912.0,730,"{""ALPHA_BLEND_WEIGHT"": 0.22, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.3, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_25,v39-sweep-28,15634.0,7723.0,7911.0,736,"{""ALPHA_BLEND_WEIGHT"": 0.16, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_15,v39-sweep-18,15631.0,7723.0,7908.0,714,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_21,v39-sweep-24,15624.0,7723.0,7901.0,729,"{""ALPHA_BLEND_WEIGHT"": 0.22, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_47,v39-sweep-50,15623.0,7723.0,7900.0,730,"{""ALPHA_BLEND_WEIGHT"": 0.16, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.27}"
v39_rand_38,v39-sweep-41,15617.0,7723.0,7894.0,734,"{""ALPHA_BLEND_WEIGHT"": 0.16, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.36, ""RANGE_RESERVATION_BIAS"": 0.22}"
v39_rand_44,v39-sweep-47,15614.0,7723.0,7891.0,733,"{""ALPHA_BLEND_WEIGHT"": 0.1, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.36, ""RANGE_RESERVATION_BIAS"": 0.22}"
v39_rand_12,v39-sweep-15,15603.0,7723.0,7880.0,730,"{""ALPHA_BLEND_WEIGHT"": 0.22, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.82, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.18, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_02,v39-sweep-05,15598.0,7723.0,7875.0,730,"{""ALPHA_BLEND_WEIGHT"": 0.16, ""ALPHA_EDGE_SCALE"": 1.34, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.78, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_33,v39-sweep-36,15593.0,7723.0,7870.0,713,"{""ALPHA_BLEND_WEIGHT"": 0.28, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.82, ""FAIR_ALPHA_WEIGHT"": 0.3, ""RANGE_RESERVATION_BIAS"": 0.22}"
v39_rand_48,v39-sweep-51,15580.0,7723.0,7857.0,743,"{""ALPHA_BLEND_WEIGHT"": 0.1, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.96, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.24, ""RANGE_RESERVATION_BIAS"": 0.32}"
v39_rand_39,v39-sweep-42,15578.0,7723.0,7855.0,749,"{""ALPHA_BLEND_WEIGHT"": 0.1, ""ALPHA_EDGE_SCALE"": 1.5, ""BASE_QUOTE_EDGE"": 2.68, ""BASE_TAKE_EDGE"": 0.86, ""FAIR_ALPHA_WEIGHT"": 0.36, ""RANGE_RESERVATION_BIAS"": 0.27}"
