candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,TOMATOES.BASE_TAKE_EDGE,TOMATOES.BASE_QUOTE_EDGE,TOMATOES.ALPHA_EDGE_SCALE,TOMATOES.ALPHA_BLEND_WEIGHT,TOMATOES.FAIR_ALPHA_WEIGHT,TOMATOES.REGIME_EWMA_ALPHA,TOMATOES.LEAN_SCORE,TOMATOES.STRONG_SCORE,TOMATOES.REENTRY_IMBALANCE_THRESHOLD,TOMATOES.REENTRY_EDGE_BONUS,TOMATOES.REENTRY_SIZE_BONUS,TOMATOES.DEFENSIVE_VOL_THRESHOLD
v40_8_2-phase1-baseline,-1,0,34849.989,31749.0,16858.0,15825.0,12.8022,64.011,0.7516267301,2.6470054123,1.3634015054,0.2658438089,0.420735319,0.2402714583,0.445547723,1.0628205438,0.13,0.08,1.0,3.3735488393
v40_8_2-phase1-it00-cand06,0,1,34721.8235,31625.5,16734.5,15810.0,13.1353,65.6765,0.7642943978718201,2.637715060169661,1.3313670172976315,0.2578234919857931,0.4013034837380185,0.20974517229975229,0.42998674817079185,1.0116263797914893,0.1363161533371098,0.09851965559723243,1.0190060280343571,3.1700009944207928
v40_8_2-phase1-it00-cand07,0,2,34644.30225,31579.0,16688.0,15655.0,13.13955,65.69775,0.772597559454334,2.6986789064739054,1.3850910197027744,0.2817096478028324,0.38994617237217605,0.2439291962386716,0.44877034203330657,1.0968443403684223,0.12060189422657772,0.11321271191116501,2.012305441398569,3.3761196649198015
v40_8_2-phase1-it00-cand02,0,3,34556.055,31506.0,16615.0,15582.0,13.269,66.345,0.713209444034161,2.5989103005455587,1.3385092685610953,0.2865447037351936,0.40469681944098845,0.26196271139756816,0.43465670224449504,1.0845247451289264,0.1313309742732195,0.03642890778543404,0.9593380284678436,3.386838073735004
v40_8_2-phase1-it00-cand04,0,4,34542.56325,31495.0,16604.0,15571.0,13.32735,66.63674999999999,0.7638400077022339,2.6776662186015185,1.3798369471258636,0.28255426963193436,0.40857298257917424,0.19599602908114316,0.44310159692770207,1.0694730733964508,0.11854257924294541,0.06636616447124534,1.203597901071582,3.282455276287341
v40_8_2-phase1-it00-cand03,0,5,34413.6875,31363.5,16472.5,15570.5,12.782499999999999,63.912499999999994,0.7504985660518745,2.642375889684207,1.3653068495907594,0.28252425925284363,0.40878741481426084,0.2849039412489177,0.4564816936499769,1.0673363001282492,0.12090286139350792,0.06052161298612903,0.7487683738520433,3.483834973076296
v40_8_2-phase1-it00-cand01,0,6,34374.9,31308.0,16417.0,15640.0,12.22,61.1,0.7439351051254484,2.638225555115625,1.3724366519762519,0.2619123379273691,0.43117752640641605,0.2775984722935757,0.46058200970559754,1.1117146259243278,0.14226686483100254,0.061691066358557145,0.20485549792611457,3.528316227136384
v40_8_2-phase1-it00-cand05,0,7,34115.397999999994,31085.5,16194.5,15473.5,12.9604,64.80199999999999,0.7622391154094156,2.659240898190217,1.3761390079088565,0.3032505275618063,0.4134717238841806,0.2548933352987325,0.4363957407533261,1.0566775719911023,0.12634032782619492,0.10935463601437487,0.9470569848623746,3.5144535387368214
v40_8_2-phase1-it00-cand00,0,8,34058.96075,31049.0,16158.0,15368.0,12.72785,63.639250000000004,0.7643625075486122,2.606945642529155,1.3793830715241953,0.27865965551244026,0.42775820883882415,0.2532102345498349,0.43546182250558657,1.084094103047112,0.0976818141181155,0.0829205481994597,0.5543710388660075,3.1983807128781416
v40_8_2-phase1-it01-cand06,1,1,34793.7505,31703.0,16812.0,15779.0,13.0099,65.0495,0.7152080558948996,2.6051094132231216,1.3293010771233327,0.26328080781597063,0.3758707432835533,0.21930297564389772,0.44898207745366986,1.1360262902956637,0.1352041337619765,0.08283174705988043,0.4648131193737419,3.0917475175029776
v40_8_2-phase1-it01-cand05,1,2,34644.03725,31579.0,16688.0,15655.0,13.19255,65.96275,0.7661774990467284,2.684601574564925,1.3657895248050327,0.2912423113303717,0.4321301202388401,0.22143107800459566,0.44619398095381735,1.00107787322294,0.09592621715796715,0.11868556663726598,1.6224913329409871,3.3658427673250406
v40_8_2-phase1-it01-cand03,1,3,34591.94625,31536.0,16645.0,15612.0,13.29075,66.45375,0.7409206188601465,2.625940687379551,1.358256499271209,0.2913885296515089,0.4262874849099279,0.23755666587452118,0.44039514798101687,1.0836233637049095,0.1213371434455899,0.10346342653137586,0.9565623281036011,3.412477764621055
v40_8_2-phase1-it01-cand04,1,4,34251.08275,31218.5,16327.5,15499.0,13.44345,67.21725,0.7656011493936495,2.6689257585118806,1.3572408111237013,0.3114796586266713,0.4154711831187103,0.22635116518228096,0.45092771167761725,1.0618844990432756,0.13853287845995005,0.05439006708677166,1.0573788375169046,3.2507474830719336
v40_8_2-phase1-it01-cand02,1,5,34248.44175,31215.0,16324.0,15488.0,12.83165,64.15825,0.7667792318779524,2.640882219351299,1.3629920633533499,0.26050766579441487,0.4237184625587886,0.18,0.41287016624904566,1.0192099794142415,0.11021767618052859,0.08135308845300199,0.7492259683921836,3.216628902994831
v40_8_2-phase1-it01-cand00,1,6,34183.73775,31168.0,16277.0,15398.0,12.77245,63.862249999999996,0.7900299974475612,2.6822704492997578,1.3542613761134485,0.27678497852421424,0.41601285465509225,0.2313749167125811,0.4213153667178037,1.0573041279295023,0.1138888597977978,0.0943236969273464,0.966525717854914,3.237009737788808
v40_8_2-phase1-it01-cand07,1,7,34039.6455,31032.5,16141.5,15343.5,12.3109,61.554500000000004,0.7732775264444024,2.62045198494027,1.3764170917970031,0.25906167022079163,0.3923903021683589,0.25618703261792547,0.4313876268011279,1.0554780268425488,0.13533723994539393,0.08732453468503681,1.1892575375666092,3.2952703872684452
v40_8_2-phase1-it01-cand01,1,8,33978.55575,30979.5,16088.5,15317.5,12.88885,64.44425,0.7379739538776205,2.605446840110909,1.320260117618471,0.26585184858341576,0.4171856789262561,0.21475939152820386,0.4804301443338992,1.0267681989327235,0.11369946341924897,0.09602240198724872,1.0505430715977717,3.3686488772957555
v40_8_2-phase1-it02-cand00,2,1,34810.083999999995,31717.0,16826.0,15793.0,13.103200000000001,65.516,0.7442510878073441,2.6381327287501253,1.37982440232229,0.2948268724393358,0.4140983493894045,0.25725833858066577,0.4546332824498965,1.045017033689172,0.11070519403218354,0.06865999087183218,1.2591540040077618,3.1989976737173276
v40_8_2-phase1-it02-cand04,2,2,34810.083999999995,31717.0,16826.0,15793.0,13.103200000000001,65.516,0.7586620466394977,2.62595654275842,1.320938624649645,0.26231538486442424,0.4422493709734456,0.2725940776511633,0.4534425388635687,1.0778878116551103,0.13813248423940994,0.0722885037065799,0.5244921390669374,3.020761173061075
v40_8_2-phase1-it02-cand07,2,3,34563.628749999996,31512.0,16621.0,15588.0,13.19425,65.97125,0.7304063166871632,2.6413888558090552,1.355328028934773,0.29335282897587156,0.42605227476396756,0.24028657834291736,0.4582577150620236,1.0819837760643112,0.10876532248108381,0.057628413694573596,1.248957488702162,3.2616311290591407
v40_8_2-phase1-it02-cand02,2,4,34470.0765,31410.0,16519.0,15610.0,12.384699999999999,61.92349999999999,0.7299844488490074,2.6193042204773027,1.3676764175768927,0.2659660541848564,0.4077187524221735,0.20364527246962952,0.4406383437639372,1.0676220247214,0.12647743124372268,0.05087429587664237,1.6940335079317874,3.34402019880596
v40_8_2-phase1-it02-cand06,2,5,34380.81875,31336.0,16445.0,15551.0,13.07625,65.38125,0.7579276989547089,2.630809929545218,1.3461283735307563,0.2924820540089962,0.4042033253507764,0.28340233970075446,0.46149851077362125,1.0191966219929123,0.10565200883638179,0.07661104410147127,0.5213255227390694,3.259682091619923
v40_8_2-phase1-it02-cand01,2,6,34369.56174999999,31323.5,16432.5,15543.5,12.52765,62.63825,0.7647389754884457,2.654470728007028,1.37328644463934,0.2723566956117388,0.40279093242984954,0.2336717136807831,0.42781627567663605,1.0601010190810942,0.11792783324109744,0.09003607058498125,0.7329959782816864,3.1434984304614852
v40_8_2-phase1-it02-cand03,2,7,34188.70075,31139.5,16248.5,15569.0,12.91985,64.59925,0.7489144595205103,2.58,1.3556452938393313,0.2722946425761764,0.3967618549352356,0.2321285986745463,0.46210026326241976,1.071369778422996,0.14000602431320802,0.09630845861122062,1.30565666060435,3.231827385650789
v40_8_2-phase1-it02-cand05,2,8,34188.70075,31139.5,16248.5,15569.0,12.91985,64.59925,0.7781230547574566,2.6419608674481783,1.3837128634261848,0.2739020866569971,0.4205715368976386,0.25196664039302796,0.4673896383730692,1.06598605739696,0.11820229760060146,0.09275923095067985,1.4857647199306934,3.1306209690299083
v40_8_2-phase1-it03-cand07,3,1,34810.083999999995,31717.0,16826.0,15793.0,13.103200000000001,65.516,0.7603302627030619,2.663739437223918,1.3618918261160406,0.2830353030067577,0.43217781446532144,0.263398468317557,0.4506092878772827,1.0827093907187246,0.103563911512832,0.09156617035825046,0.5160185789577749,3.316429575144462
v40_8_2-phase1-it03-cand00,3,2,34809.818999999996,31717.0,16826.0,15793.0,13.1562,65.781,0.7419001619272401,2.608065807039685,1.33691008695908,0.28538762356681696,0.4167858360221695,0.25024043728171835,0.44741573018663283,1.0701710612792952,0.10327461620370824,0.08677638599491991,0.830378559910437,3.3546921018633395
v40_8_2-phase1-it03-cand05,3,3,34793.7505,31703.0,16812.0,15779.0,13.0099,65.0495,0.7576378258024566,2.639264873576215,1.3715374117540775,0.2732621922916925,0.4277556523413507,0.22215363885166772,0.45576476532852406,1.0536536468852664,0.11489728007461185,0.09473128405079045,0.9588316794879905,3.2973987409833416
v40_8_2-phase1-it03-cand01,3,4,34556.32,31506.0,16615.0,15582.0,13.216000000000001,66.08000000000001,0.7382930617471499,2.6170527741107055,1.3375945566174556,0.26662728367895827,0.42499087705153765,0.2615247202795586,0.4393398893354905,1.0541071928129992,0.1472374021765744,0.083958836952101,0.24947055091017845,3.108484446007726
v40_8_2-phase1-it03-cand02,3,5,34556.32,31506.0,16615.0,15582.0,13.216000000000001,66.08000000000001,0.7479360461467991,2.63153674724015,1.353340245070621,0.27528690565872693,0.4378045689171788,0.22267684949081196,0.44137769105603236,1.0340691596528293,0.11668243531128138,0.07892242256935339,0.38302991517792184,3.375180106352493
v40_8_2-phase1-it03-cand03,3,6,34495.9735,31454.0,16563.0,15530.0,12.8053,64.0265,0.7474966563329174,2.6620605680552214,1.4030003113592542,0.28230174780242057,0.39119685827178463,0.2214494632937081,0.44575749111264423,1.0717943086627246,0.14096234300283225,0.10792098909877186,1.2582313863712158,3.347761479424312
v40_8_2-phase1-it03-cand06,3,7,34209.971249999995,31159.5,16268.5,15570.5,12.72575,63.62875,0.7403160835565468,2.612538796344329,1.3329107912267888,0.2715265048199142,0.4220057902115514,0.23351500617159898,0.46130757153822993,1.0707609143524413,0.13328202615264395,0.06271407016698188,1.3086919580389451,3.3382782518555105
