label,run_id,total,emeralds,tomatoes,trades,params_json
v40_state_11,v40-state-sweep-15,15486.0,7723.0,7763.0,682,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
feedback_lighter,v40-state-sweep-04,15462.0,7723.0,7739.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 2.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.1, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
v40_state_12,v40-state-sweep-16,15458.0,7723.0,7735.0,681,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_22,v40-state-sweep-26,15456.0,7723.0,7733.0,682,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
baseline_v40_3,v40-state-sweep-01,15432.0,7723.0,7709.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 2.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
lighter_fast_widening,v40-state-sweep-02,15432.0,7723.0,7709.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.08, ""BAD_FILL_TAKE_PENALTY"": 0.1, ""CALM_JOIN_IMPROVEMENT"": 2.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.18, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
v40_state_16,v40-state-sweep-20,15432.0,7723.0,7709.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 2.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.2, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
v40_state_02,v40-state-sweep-06,15428.0,7723.0,7705.0,682,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_03,v40-state-sweep-07,15428.0,7723.0,7705.0,682,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_05,v40-state-sweep-09,15428.0,7723.0,7705.0,682,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
