bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,EMERALDS_pnl,TOMATOES_pnl,EMERALDS_position,TOMATOES_position
Traderv52,original_noise,original_noise_001,-1,13879.0,623,original,0,0.931401,0.987265,0.005872,1,6859.0,7020.0,-23,-6
Traderv52,original_noise,original_noise_001,-2,14458.5,604,original,0,0.978199,0.993314,0.017401,1,6771.0,7687.5,-20,19
Traderv52,original_noise,original_noise_002,-1,12406.0,602,original,0,0.904631,0.954529,0.048975,1,6370.0,6036.0,-21,1
Traderv52,original_noise,original_noise_002,-2,13544.5,599,original,0,0.951019,0.960033,0.005997,1,6278.0,7266.5,-20,13
Traderv52,original_noise,original_noise_003,-1,14282.0,654,original,0,0.96797,0.988261,0.047655,1,7050.0,7232.0,-23,-9
Traderv52,original_noise,original_noise_003,-2,12960.0,573,original,0,0.906402,0.946825,0.002253,1,6074.0,6886.0,-18,18
Traderv52,bootstrap_path,bootstrap_path_001,-1,15764.5,733,bootstrap,362,1.0,1.0,0.0,1,8828.0,6936.5,19,7
Traderv52,bootstrap_path,bootstrap_path_001,-2,10816.0,650,bootstrap,211,1.0,1.0,0.0,1,6532.0,4284.0,20,-2
Traderv52,bootstrap_path,bootstrap_path_002,-1,15224.0,716,bootstrap,433,1.0,1.0,0.0,1,6950.0,8274.0,-46,-8
Traderv52,bootstrap_path,bootstrap_path_002,-2,15955.5,733,bootstrap,218,1.0,1.0,0.0,1,7795.0,8160.5,-22,11
Traderv52,bootstrap_path,bootstrap_path_003,-1,12750.5,795,bootstrap,164,1.0,1.0,0.0,1,8328.0,4422.5,-23,7
Traderv52,bootstrap_path,bootstrap_path_003,-2,14436.0,679,bootstrap,328,1.0,1.0,0.0,1,6369.0,8067.0,-13,12
Traderv52,bootstrap_balanced,bootstrap_balanced_001,-1,12071.0,649,bootstrap,269,0.889654,0.903719,0.025921,1,6691.0,5380.0,-5,2
Traderv52,bootstrap_balanced,bootstrap_balanced_001,-2,10192.0,552,bootstrap,318,0.832963,0.938478,0.089741,1,5599.0,4593.0,23,-2
Traderv52,bootstrap_balanced,bootstrap_balanced_002,-1,10426.0,595,bootstrap,385,0.81561,0.925686,0.028672,1,5903.0,4523.0,5,4
Traderv52,bootstrap_balanced,bootstrap_balanced_002,-2,10951.0,588,bootstrap,416,0.925688,0.831534,0.029268,1,5542.0,5409.0,14,19
Traderv52,bootstrap_balanced,bootstrap_balanced_003,-1,8509.5,633,bootstrap,187,0.841917,0.751778,0.091606,1,5214.0,3295.5,0,29
Traderv52,bootstrap_balanced,bootstrap_balanced_003,-2,11095.0,565,bootstrap,262,0.816291,0.863816,0.090904,1,5139.0,5956.0,15,6
Traderv52,bootstrap_stress,bootstrap_stress_001,-1,8570.0,513,bootstrap,214,0.639789,0.745847,0.11763,2,4245.0,4325.0,-27,12
Traderv52,bootstrap_stress,bootstrap_stress_001,-2,4960.0,400,bootstrap,145,0.561707,0.604027,0.169031,1,2671.0,2289.0,-4,6
Traderv52,bootstrap_stress,bootstrap_stress_002,-1,8365.0,612,bootstrap,124,0.759653,0.78606,0.124888,2,4302.0,4063.0,-11,24
Traderv52,bootstrap_stress,bootstrap_stress_002,-2,7455.0,482,bootstrap,193,0.748709,0.76822,0.173733,2,3978.0,3477.0,7,24
Traderv52,bootstrap_stress,bootstrap_stress_003,-1,8121.0,565,bootstrap,101,0.6105,0.612918,0.188676,2,3215.0,4906.0,12,-2
Traderv52,bootstrap_stress,bootstrap_stress_003,-2,5897.0,473,bootstrap,99,0.630976,0.638153,0.08612,1,3261.0,2636.0,15,-1
Traderv51,original_noise,original_noise_001,-1,13332.0,601,original,0,0.931401,0.987265,0.005872,1,6571.0,6761.0,-23,-9
Traderv51,original_noise,original_noise_001,-2,14041.0,607,original,0,0.978199,0.993314,0.017401,1,6806.0,7235.0,-19,18
Traderv51,original_noise,original_noise_002,-1,12874.0,615,original,0,0.904631,0.954529,0.048975,1,6529.0,6345.0,-18,1
Traderv51,original_noise,original_noise_002,-2,13613.0,586,original,0,0.951019,0.960033,0.005997,1,6309.0,7304.0,-21,18
Traderv51,original_noise,original_noise_003,-1,14233.0,649,original,0,0.96797,0.988261,0.047655,1,7286.0,6947.0,-23,3
Traderv51,original_noise,original_noise_003,-2,12878.5,554,original,0,0.906402,0.946825,0.002253,1,6129.0,6749.5,-15,21
Traderv51,bootstrap_path,bootstrap_path_001,-1,15503.0,725,bootstrap,362,1.0,1.0,0.0,1,8828.0,6675.0,19,6
Traderv51,bootstrap_path,bootstrap_path_001,-2,10763.0,650,bootstrap,211,1.0,1.0,0.0,1,6532.0,4231.0,20,-8
