bot,family,sample_id,total_pnl,total_fills,path_mode,avg_block_steps,avg_passive_fill_prob,avg_passive_qty_scale,avg_aggressive_slip_prob,avg_aggressive_slip_ticks,day_-1_pnl,day_-2_pnl
Traderv51,bootstrap_balanced,bootstrap_balanced_001,21657.5,1153,bootstrap,293.5,0.861309,0.921099,0.057831,1.0,11154.5,10503.0
Traderv51,bootstrap_balanced,bootstrap_balanced_002,22322.0,1183,bootstrap,400.5,0.870649,0.87861,0.02897,1.0,11434.0,10888.0
Traderv51,bootstrap_balanced,bootstrap_balanced_003,20536.5,1158,bootstrap,224.5,0.829104,0.807797,0.091255,1.0,9048.5,11488.0
Traderv51,bootstrap_path,bootstrap_path_001,26266.0,1375,bootstrap,286.5,1.0,1.0,0.0,1.0,15503.0,10763.0
Traderv51,bootstrap_path,bootstrap_path_002,31640.5,1429,bootstrap,325.5,1.0,1.0,0.0,1.0,15580.0,16060.5
Traderv51,bootstrap_path,bootstrap_path_003,26787.0,1464,bootstrap,246.0,1.0,1.0,0.0,1.0,12211.0,14576.0
Traderv51,bootstrap_stress,bootstrap_stress_001,13365.0,916,bootstrap,179.5,0.600748,0.674937,0.14333,1.5,7523.0,5842.0
Traderv51,bootstrap_stress,bootstrap_stress_002,17414.5,1111,bootstrap,158.5,0.754181,0.77714,0.149311,2.0,9071.0,8343.5
Traderv51,bootstrap_stress,bootstrap_stress_003,14151.0,1035,bootstrap,100.0,0.620738,0.625536,0.137398,1.5,7891.0,6260.0
Traderv51,original_noise,original_noise_001,27373.0,1208,original,0.0,0.9548,0.99029,0.011636,1.0,13332.0,14041.0
Traderv51,original_noise,original_noise_002,26487.0,1201,original,0.0,0.927825,0.957281,0.027486,1.0,12874.0,13613.0
Traderv51,original_noise,original_noise_003,27111.5,1203,original,0.0,0.937186,0.967543,0.024954,1.0,14233.0,12878.5
Traderv52,bootstrap_balanced,bootstrap_balanced_001,22263.0,1201,bootstrap,293.5,0.861309,0.921099,0.057831,1.0,12071.0,10192.0
Traderv52,bootstrap_balanced,bootstrap_balanced_002,21377.0,1183,bootstrap,400.5,0.870649,0.87861,0.02897,1.0,10426.0,10951.0
Traderv52,bootstrap_balanced,bootstrap_balanced_003,19604.5,1198,bootstrap,224.5,0.829104,0.807797,0.091255,1.0,8509.5,11095.0
Traderv52,bootstrap_path,bootstrap_path_001,26580.5,1383,bootstrap,286.5,1.0,1.0,0.0,1.0,15764.5,10816.0
Traderv52,bootstrap_path,bootstrap_path_002,31179.5,1449,bootstrap,325.5,1.0,1.0,0.0,1.0,15224.0,15955.5
Traderv52,bootstrap_path,bootstrap_path_003,27186.5,1474,bootstrap,246.0,1.0,1.0,0.0,1.0,12750.5,14436.0
Traderv52,bootstrap_stress,bootstrap_stress_001,13530.0,913,bootstrap,179.5,0.600748,0.674937,0.14333,1.5,8570.0,4960.0
Traderv52,bootstrap_stress,bootstrap_stress_002,15820.0,1094,bootstrap,158.5,0.754181,0.77714,0.149311,2.0,8365.0,7455.0
Traderv52,bootstrap_stress,bootstrap_stress_003,14018.0,1038,bootstrap,100.0,0.620738,0.625536,0.137398,1.5,8121.0,5897.0
Traderv52,original_noise,original_noise_001,28337.5,1227,original,0.0,0.9548,0.99029,0.011636,1.0,13879.0,14458.5
Traderv52,original_noise,original_noise_002,25950.5,1201,original,0.0,0.927825,0.957281,0.027486,1.0,12406.0,13544.5
Traderv52,original_noise,original_noise_003,27242.0,1227,original,0.0,0.937186,0.967543,0.024954,1.0,14282.0,12960.0
