bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,EMERALDS_pnl,TOMATOES_pnl,EMERALDS_position,TOMATOES_position
Traderv53,original_noise,original_noise_001,-1,14600.0,647,original,0,0.958841,0.994906,0.003523,1,7058.0,7542.0,-24,-3
Traderv53,original_noise,original_noise_001,-2,14802.0,617,original,0,0.986919,0.997326,0.010441,1,6925.0,7877.0,-22,16
Traderv53,original_noise,original_noise_002,-1,13926.0,634,original,0,0.942779,0.981812,0.029385,1,6874.0,7052.0,-24,1
Traderv53,original_noise,original_noise_002,-2,14014.5,601,original,0,0.970611,0.984013,0.003598,1,6607.0,7407.5,-23,15
Traderv53,original_noise,original_noise_003,-1,14521.0,661,original,0,0.980782,0.995304,0.028593,1,7412.0,7109.0,-23,-9
Traderv53,original_noise,original_noise_003,-2,13006.0,584,original,0,0.943841,0.97873,0.001352,1,6163.0,6843.0,-23,20
Traderv53,bootstrap_path,bootstrap_path_001,-1,15764.5,733,bootstrap,362,1.0,1.0,0.0,1,8828.0,6936.5,19,7
Traderv53,bootstrap_path,bootstrap_path_001,-2,10816.0,650,bootstrap,211,1.0,1.0,0.0,1,6532.0,4284.0,20,-2
Traderv53,bootstrap_path,bootstrap_path_002,-1,15224.0,716,bootstrap,433,1.0,1.0,0.0,1,6950.0,8274.0,-46,-8
Traderv53,bootstrap_path,bootstrap_path_002,-2,15955.5,733,bootstrap,218,1.0,1.0,0.0,1,7795.0,8160.5,-22,11
Traderv53,bootstrap_path,bootstrap_path_003,-1,12750.5,795,bootstrap,164,1.0,1.0,0.0,1,8328.0,4422.5,-23,7
Traderv53,bootstrap_path,bootstrap_path_003,-2,14436.0,679,bootstrap,328,1.0,1.0,0.0,1,6369.0,8067.0,-13,12
Traderv53,bootstrap_balanced,bootstrap_balanced_001,-1,12853.0,676,bootstrap,289,0.930775,0.944545,0.014145,1,6587.0,6266.0,-25,-5
Traderv53,bootstrap_balanced,bootstrap_balanced_001,-2,12534.0,575,bootstrap,338,0.893926,0.963663,0.058819,1,5966.0,6568.0,18,-4
Traderv53,bootstrap_balanced,bootstrap_balanced_002,-1,13617.0,651,bootstrap,405,0.882646,0.956627,0.01607,1,6812.0,6805.0,2,-2
Traderv53,bootstrap_balanced,bootstrap_balanced_002,-2,10902.0,588,bootstrap,348,0.892647,0.872683,0.036334,1,5905.0,4997.0,11,-5
Traderv53,bootstrap_balanced,bootstrap_balanced_003,-1,11104.0,646,bootstrap,207,0.899746,0.860978,0.060124,1,5886.0,5218.0,-2,11
Traderv53,bootstrap_balanced,bootstrap_balanced_003,-2,13729.5,613,bootstrap,282,0.883089,0.922599,0.059633,1,6475.0,7254.5,19,5
Traderv53,bootstrap_stress,bootstrap_stress_001,-1,8708.0,575,bootstrap,214,0.739859,0.79098,0.108613,2,4893.0,3815.0,-11,19
Traderv53,bootstrap_stress,bootstrap_stress_001,-2,7326.5,522,bootstrap,145,0.687805,0.710615,0.15316,1,3812.0,3514.5,25,7
Traderv53,bootstrap_stress,bootstrap_stress_002,-1,7900.0,644,bootstrap,124,0.819768,0.813767,0.114903,2,4925.0,2975.0,1,5
Traderv53,bootstrap_stress,bootstrap_stress_002,-2,8899.0,537,bootstrap,193,0.812473,0.803658,0.157235,2,4522.0,4377.0,2,18
Traderv53,bootstrap_stress,bootstrap_stress_003,-1,8434.0,655,bootstrap,101,0.720333,0.715654,0.170186,2,3845.0,4589.0,-8,6
Traderv53,bootstrap_stress,bootstrap_stress_003,-2,7730.0,556,bootstrap,99,0.733984,0.729953,0.081304,1,3806.0,3924.0,3,2
Traderv52,original_noise,original_noise_001,-1,14636.0,653,original,0,0.958841,0.994906,0.003523,1,7285.0,7351.0,-22,-4
Traderv52,original_noise,original_noise_001,-2,14394.0,612,original,0,0.986919,0.997326,0.010441,1,6778.0,7616.0,-22,20
Traderv52,original_noise,original_noise_002,-1,13719.0,625,original,0,0.942779,0.981812,0.029385,1,6900.0,6819.0,-21,1
Traderv52,original_noise,original_noise_002,-2,14157.5,602,original,0,0.970611,0.984013,0.003598,1,6701.0,7456.5,-21,11
Traderv52,original_noise,original_noise_003,-1,14777.0,664,original,0,0.980782,0.995304,0.028593,1,7365.0,7412.0,-23,-4
Traderv52,original_noise,original_noise_003,-2,13655.0,587,original,0,0.943841,0.97873,0.001352,1,6508.0,7147.0,-20,20
Traderv52,bootstrap_path,bootstrap_path_001,-1,15764.5,733,bootstrap,362,1.0,1.0,0.0,1,8828.0,6936.5,19,7
Traderv52,bootstrap_path,bootstrap_path_001,-2,10816.0,650,bootstrap,211,1.0,1.0,0.0,1,6532.0,4284.0,20,-2
Traderv52,bootstrap_path,bootstrap_path_002,-1,15224.0,716,bootstrap,433,1.0,1.0,0.0,1,6950.0,8274.0,-46,-8
Traderv52,bootstrap_path,bootstrap_path_002,-2,15955.5,733,bootstrap,218,1.0,1.0,0.0,1,7795.0,8160.5,-22,11
Traderv52,bootstrap_path,bootstrap_path_003,-1,12750.5,795,bootstrap,164,1.0,1.0,0.0,1,8328.0,4422.5,-23,7
Traderv52,bootstrap_path,bootstrap_path_003,-2,14436.0,679,bootstrap,328,1.0,1.0,0.0,1,6369.0,8067.0,-13,12
Traderv52,bootstrap_balanced,bootstrap_balanced_001,-1,13285.0,681,bootstrap,289,0.930775,0.944545,0.014145,1,6804.0,6481.0,-26,4
Traderv52,bootstrap_balanced,bootstrap_balanced_001,-2,11855.0,581,bootstrap,338,0.893926,0.963663,0.058819,1,5583.0,6272.0,20,11
Traderv52,bootstrap_balanced,bootstrap_balanced_002,-1,12462.0,649,bootstrap,405,0.882646,0.956627,0.01607,1,7093.0,5369.0,9,-7
Traderv52,bootstrap_balanced,bootstrap_balanced_002,-2,11602.0,579,bootstrap,348,0.892647,0.872683,0.036334,1,5855.0,5747.0,11,-4
Traderv52,bootstrap_balanced,bootstrap_balanced_003,-1,11362.0,651,bootstrap,207,0.899746,0.860978,0.060124,1,6073.0,5289.0,3,-2
Traderv52,bootstrap_balanced,bootstrap_balanced_003,-2,13524.5,615,bootstrap,282,0.883089,0.922599,0.059633,1,6634.0,6890.5,23,-9
Traderv52,bootstrap_stress,bootstrap_stress_001,-1,8924.0,585,bootstrap,214,0.739859,0.79098,0.108613,2,5076.0,3848.0,-1,20
Traderv52,bootstrap_stress,bootstrap_stress_001,-2,7800.0,500,bootstrap,145,0.687805,0.710615,0.15316,1,3674.0,4126.0,-10,4
Traderv52,bootstrap_stress,bootstrap_stress_002,-1,9032.0,653,bootstrap,124,0.819768,0.813767,0.114903,2,4826.0,4206.0,-10,7
Traderv52,bootstrap_stress,bootstrap_stress_002,-2,8849.0,522,bootstrap,193,0.812473,0.803658,0.157235,2,4503.0,4346.0,26,22
Traderv52,bootstrap_stress,bootstrap_stress_003,-1,8660.0,644,bootstrap,101,0.720333,0.715654,0.170186,2,3794.0,4866.0,0,2
Traderv52,bootstrap_stress,bootstrap_stress_003,-2,8184.0,541,bootstrap,99,0.733984,0.729953,0.081304,1,4091.0,4093.0,-4,18
