bot,family,sample_id,total_pnl,total_fills,path_mode,avg_block_steps,avg_passive_fill_prob,avg_passive_qty_scale,avg_aggressive_slip_prob,avg_aggressive_slip_ticks,day_-1_pnl,day_-2_pnl
Traderv52,bootstrap_balanced,bootstrap_balanced_001,25140.0,1262,bootstrap,313.5,0.912351,0.954104,0.036482,1.0,13285.0,11855.0
Traderv52,bootstrap_balanced,bootstrap_balanced_002,24064.0,1228,bootstrap,376.5,0.887647,0.914655,0.026202,1.0,12462.0,11602.0
Traderv52,bootstrap_balanced,bootstrap_balanced_003,24886.5,1266,bootstrap,244.5,0.891417,0.891788,0.059879,1.0,11362.0,13524.5
Traderv52,bootstrap_path,bootstrap_path_001,26580.5,1383,bootstrap,286.5,1.0,1.0,0.0,1.0,15764.5,10816.0
Traderv52,bootstrap_path,bootstrap_path_002,31179.5,1449,bootstrap,325.5,1.0,1.0,0.0,1.0,15224.0,15955.5
Traderv52,bootstrap_path,bootstrap_path_003,27186.5,1474,bootstrap,246.0,1.0,1.0,0.0,1.0,12750.5,14436.0
Traderv52,bootstrap_stress,bootstrap_stress_001,16724.0,1085,bootstrap,179.5,0.713832,0.750798,0.130886,1.5,8924.0,7800.0
Traderv52,bootstrap_stress,bootstrap_stress_002,17881.0,1175,bootstrap,158.5,0.816121,0.808712,0.136069,2.0,9032.0,8849.0
Traderv52,bootstrap_stress,bootstrap_stress_003,16844.0,1185,bootstrap,100.0,0.727159,0.722803,0.125745,1.5,8660.0,8184.0
Traderv52,original_noise,original_noise_001,29030.0,1265,original,0.0,0.97288,0.996116,0.006982,1.0,14636.0,14394.0
Traderv52,original_noise,original_noise_002,27876.5,1227,original,0.0,0.956695,0.982913,0.016491,1.0,13719.0,14157.5
Traderv52,original_noise,original_noise_003,28432.0,1251,original,0.0,0.962311,0.987017,0.014972,1.0,14777.0,13655.0
Traderv53,bootstrap_balanced,bootstrap_balanced_001,25387.0,1251,bootstrap,313.5,0.912351,0.954104,0.036482,1.0,12853.0,12534.0
Traderv53,bootstrap_balanced,bootstrap_balanced_002,24519.0,1239,bootstrap,376.5,0.887647,0.914655,0.026202,1.0,13617.0,10902.0
Traderv53,bootstrap_balanced,bootstrap_balanced_003,24833.5,1259,bootstrap,244.5,0.891417,0.891788,0.059879,1.0,11104.0,13729.5
Traderv53,bootstrap_path,bootstrap_path_001,26580.5,1383,bootstrap,286.5,1.0,1.0,0.0,1.0,15764.5,10816.0
Traderv53,bootstrap_path,bootstrap_path_002,31179.5,1449,bootstrap,325.5,1.0,1.0,0.0,1.0,15224.0,15955.5
Traderv53,bootstrap_path,bootstrap_path_003,27186.5,1474,bootstrap,246.0,1.0,1.0,0.0,1.0,12750.5,14436.0
Traderv53,bootstrap_stress,bootstrap_stress_001,16034.5,1097,bootstrap,179.5,0.713832,0.750798,0.130886,1.5,8708.0,7326.5
Traderv53,bootstrap_stress,bootstrap_stress_002,16799.0,1181,bootstrap,158.5,0.816121,0.808712,0.136069,2.0,7900.0,8899.0
Traderv53,bootstrap_stress,bootstrap_stress_003,16164.0,1211,bootstrap,100.0,0.727159,0.722803,0.125745,1.5,8434.0,7730.0
Traderv53,original_noise,original_noise_001,29402.0,1264,original,0.0,0.97288,0.996116,0.006982,1.0,14600.0,14802.0
Traderv53,original_noise,original_noise_002,27940.5,1235,original,0.0,0.956695,0.982913,0.016491,1.0,13926.0,14014.5
Traderv53,original_noise,original_noise_003,27527.0,1245,original,0.0,0.962311,0.987017,0.014972,1.0,14521.0,13006.0
