bot,family,sample_id,day,total_pnl,total_fills,path_mode,block_steps,passive_fill_prob,passive_qty_scale,aggressive_slip_prob,aggressive_slip_ticks,EMERALDS_pnl,TOMATOES_pnl,EMERALDS_position,TOMATOES_position
Traderv53,original_noise,original_noise_001,-1,14321.0,647,original,0,0.958841,0.994906,0.003523,1,7320.0,7001.0,-20,-7
Traderv53,original_noise,original_noise_001,-2,14591.0,621,original,0,0.986919,0.997326,0.010441,1,6842.0,7749.0,-20,18
Traderv53,original_noise,original_noise_002,-1,13962.0,635,original,0,0.942779,0.981812,0.029385,1,6909.0,7053.0,-18,-4
Traderv53,original_noise,original_noise_002,-2,14106.5,599,original,0,0.970611,0.984013,0.003598,1,6709.0,7397.5,-18,17
Traderv53,original_noise,original_noise_003,-1,14547.0,660,original,0,0.980782,0.995304,0.028593,1,7418.0,7129.0,-19,-7
Traderv53,original_noise,original_noise_003,-2,13468.0,593,original,0,0.943841,0.97873,0.001352,1,6418.0,7050.0,-22,16
Traderv53,bootstrap_path,bootstrap_path_001,-1,16256.0,728,bootstrap,362,1.0,1.0,0.0,1,8828.0,7428.0,19,8
Traderv53,bootstrap_path,bootstrap_path_001,-2,11149.0,647,bootstrap,211,1.0,1.0,0.0,1,6532.0,4617.0,20,0
Traderv53,bootstrap_path,bootstrap_path_002,-1,14838.0,720,bootstrap,433,1.0,1.0,0.0,1,6950.0,7888.0,-46,-9
Traderv53,bootstrap_path,bootstrap_path_002,-2,16166.5,732,bootstrap,218,1.0,1.0,0.0,1,7795.0,8371.5,-22,13
Traderv53,bootstrap_path,bootstrap_path_003,-1,12320.5,803,bootstrap,164,1.0,1.0,0.0,1,8328.0,3992.5,-23,-3
Traderv53,bootstrap_path,bootstrap_path_003,-2,14320.5,669,bootstrap,328,1.0,1.0,0.0,1,6369.0,7951.5,-13,17
Traderv53,bootstrap_balanced,bootstrap_balanced_001,-1,13789.0,671,bootstrap,289,0.930775,0.944545,0.014145,1,6749.0,7040.0,-36,-3
Traderv53,bootstrap_balanced,bootstrap_balanced_001,-2,12255.0,574,bootstrap,338,0.893926,0.963663,0.058819,1,5491.0,6764.0,24,10
Traderv53,bootstrap_balanced,bootstrap_balanced_002,-1,13590.0,651,bootstrap,405,0.882646,0.956627,0.01607,1,6888.0,6702.0,-2,-2
Traderv53,bootstrap_balanced,bootstrap_balanced_002,-2,11308.0,576,bootstrap,348,0.892647,0.872683,0.036334,1,5590.0,5718.0,13,-5
Traderv53,bootstrap_balanced,bootstrap_balanced_003,-1,10889.0,641,bootstrap,207,0.899746,0.860978,0.060124,1,5852.0,5037.0,3,0
Traderv53,bootstrap_balanced,bootstrap_balanced_003,-2,13772.0,615,bootstrap,282,0.883089,0.922599,0.059633,1,6593.0,7179.0,20,-2
Traderv53,bootstrap_stress,bootstrap_stress_001,-1,8628.0,585,bootstrap,214,0.739859,0.79098,0.108613,2,4903.0,3725.0,-6,17
Traderv53,bootstrap_stress,bootstrap_stress_001,-2,7880.0,515,bootstrap,145,0.687805,0.710615,0.15316,1,4104.0,3776.0,-2,10
Traderv53,bootstrap_stress,bootstrap_stress_002,-1,8749.0,640,bootstrap,124,0.819768,0.813767,0.114903,2,4798.0,3951.0,8,17
Traderv53,bootstrap_stress,bootstrap_stress_002,-2,9156.0,539,bootstrap,193,0.812473,0.803658,0.157235,2,4671.0,4485.0,19,30
Traderv53,bootstrap_stress,bootstrap_stress_003,-1,8715.0,635,bootstrap,101,0.720333,0.715654,0.170186,2,3902.0,4813.0,-5,1
Traderv53,bootstrap_stress,bootstrap_stress_003,-2,7893.0,557,bootstrap,99,0.733984,0.729953,0.081304,1,4045.0,3848.0,15,3
