bot,family,sample_id,total_pnl,total_fills,path_mode,avg_block_steps,avg_passive_fill_prob,avg_passive_qty_scale,avg_aggressive_slip_prob,avg_aggressive_slip_ticks,day_-1_pnl,day_-2_pnl
Traderv52,bootstrap_balanced,bootstrap_balanced_001,25140.0,1262,bootstrap,313.5,0.912351,0.954104,0.036482,1.0,13285.0,11855.0
Traderv52,bootstrap_balanced,bootstrap_balanced_002,24064.0,1228,bootstrap,376.5,0.887647,0.914655,0.026202,1.0,12462.0,11602.0
Traderv52,bootstrap_balanced,bootstrap_balanced_003,24886.5,1266,bootstrap,244.5,0.891417,0.891788,0.059879,1.0,11362.0,13524.5
Traderv52,bootstrap_path,bootstrap_path_001,26580.5,1383,bootstrap,286.5,1.0,1.0,0.0,1.0,15764.5,10816.0
Traderv52,bootstrap_path,bootstrap_path_002,31179.5,1449,bootstrap,325.5,1.0,1.0,0.0,1.0,15224.0,15955.5
Traderv52,bootstrap_path,bootstrap_path_003,27186.5,1474,bootstrap,246.0,1.0,1.0,0.0,1.0,12750.5,14436.0
Traderv52,bootstrap_stress,bootstrap_stress_001,16724.0,1085,bootstrap,179.5,0.713832,0.750798,0.130886,1.5,8924.0,7800.0
Traderv52,bootstrap_stress,bootstrap_stress_002,17881.0,1175,bootstrap,158.5,0.816121,0.808712,0.136069,2.0,9032.0,8849.0
Traderv52,bootstrap_stress,bootstrap_stress_003,16844.0,1185,bootstrap,100.0,0.727159,0.722803,0.125745,1.5,8660.0,8184.0
Traderv52,original_noise,original_noise_001,29030.0,1265,original,0.0,0.97288,0.996116,0.006982,1.0,14636.0,14394.0
Traderv52,original_noise,original_noise_002,27876.5,1227,original,0.0,0.956695,0.982913,0.016491,1.0,13719.0,14157.5
Traderv52,original_noise,original_noise_003,28432.0,1251,original,0.0,0.962311,0.987017,0.014972,1.0,14777.0,13655.0
Traderv53,bootstrap_balanced,bootstrap_balanced_001,26044.0,1245,bootstrap,313.5,0.912351,0.954104,0.036482,1.0,13789.0,12255.0
Traderv53,bootstrap_balanced,bootstrap_balanced_002,24898.0,1227,bootstrap,376.5,0.887647,0.914655,0.026202,1.0,13590.0,11308.0
Traderv53,bootstrap_balanced,bootstrap_balanced_003,24661.0,1256,bootstrap,244.5,0.891417,0.891788,0.059879,1.0,10889.0,13772.0
Traderv53,bootstrap_path,bootstrap_path_001,27405.0,1375,bootstrap,286.5,1.0,1.0,0.0,1.0,16256.0,11149.0
Traderv53,bootstrap_path,bootstrap_path_002,31004.5,1452,bootstrap,325.5,1.0,1.0,0.0,1.0,14838.0,16166.5
Traderv53,bootstrap_path,bootstrap_path_003,26641.0,1472,bootstrap,246.0,1.0,1.0,0.0,1.0,12320.5,14320.5
Traderv53,bootstrap_stress,bootstrap_stress_001,16508.0,1100,bootstrap,179.5,0.713832,0.750798,0.130886,1.5,8628.0,7880.0
Traderv53,bootstrap_stress,bootstrap_stress_002,17905.0,1179,bootstrap,158.5,0.816121,0.808712,0.136069,2.0,8749.0,9156.0
Traderv53,bootstrap_stress,bootstrap_stress_003,16608.0,1192,bootstrap,100.0,0.727159,0.722803,0.125745,1.5,8715.0,7893.0
Traderv53,original_noise,original_noise_001,28912.0,1268,original,0.0,0.97288,0.996116,0.006982,1.0,14321.0,14591.0
Traderv53,original_noise,original_noise_002,28068.5,1234,original,0.0,0.956695,0.982913,0.016491,1.0,13962.0,14106.5
Traderv53,original_noise,original_noise_003,28015.0,1253,original,0.0,0.962311,0.987017,0.014972,1.0,14547.0,13468.0
