day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-2,3300,-1996700,TOMATOES,BUY,4993,10,aggressive_cross,4993
-2,26800,-1973200,TOMATOES,BUY,4994,10,aggressive_cross,4994
-2,27700,-1972300,TOMATOES,SELL,4994,3,aggressive_cross,4994
-2,140800,-1859200,TOMATOES,SELL,5006,8,aggressive_cross,5006
-2,153600,-1846400,TOMATOES,SELL,5003,9,aggressive_cross,5003
-2,163600,-1836400,TOMATOES,BUY,4994,2,aggressive_cross,4994
-2,179200,-1820800,TOMATOES,SELL,4994,6,aggressive_cross,4994
-2,222300,-1777700,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,222700,-1777300,TOMATOES,SELL,4998,4,aggressive_cross,4998
-2,225100,-1774900,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,243100,-1756900,TOMATOES,SELL,4994,2,aggressive_cross,4994
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,249900,-1750100,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,250700,-1749300,TOMATOES,SELL,4996,6,aggressive_cross,4996
-2,270900,-1729100,TOMATOES,SELL,5000,10,aggressive_cross,5000
-2,272200,-1727800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,274300,-1725700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,277500,-1722500,TOMATOES,SELL,5007,5,aggressive_cross,5007
-2,295200,-1704800,TOMATOES,BUY,5002,5,aggressive_cross,5002
-2,314100,-1685900,TOMATOES,SELL,5002,9,aggressive_cross,5002
-2,386100,-1613900,TOMATOES,SELL,5015,6,aggressive_cross,5015
-2,397600,-1602400,TOMATOES,BUY,5004,10,aggressive_cross,5004
-2,412100,-1587900,TOMATOES,BUY,5006,10,aggressive_cross,5006
-2,417900,-1582100,TOMATOES,SELL,5009,7,aggressive_cross,5009
-2,441400,-1558600,TOMATOES,BUY,5004,10,aggressive_cross,5004
-2,464700,-1535300,TOMATOES,BUY,4999,7,aggressive_cross,4999
-2,546000,-1454000,TOMATOES,SELL,5008,8,aggressive_cross,5008
-2,625300,-1374700,TOMATOES,BUY,4998,10,aggressive_cross,4998
-2,631000,-1369000,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,645300,-1354700,EMERALDS,SELL,10000,10,aggressive_cross,10000
-2,650100,-1349900,TOMATOES,BUY,5015,5,aggressive_cross,5015
-2,658800,-1341200,TOMATOES,BUY,5016,7,aggressive_cross,5016
-2,660400,-1339600,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,716800,-1283200,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,726700,-1273300,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,727800,-1272200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,777500,-1222500,TOMATOES,SELL,5020,10,aggressive_cross,5020
-2,806300,-1193700,TOMATOES,BUY,5021,2,aggressive_cross,5021
-2,807500,-1192500,TOMATOES,BUY,5020,10,aggressive_cross,5020
-2,818200,-1181800,TOMATOES,BUY,5030,7,aggressive_cross,5030
-2,853300,-1146700,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,867600,-1132400,TOMATOES,SELL,5031,10,aggressive_cross,5031
-2,870900,-1129100,TOMATOES,BUY,5024,10,aggressive_cross,5024
-2,875100,-1124900,TOMATOES,SELL,5027,10,aggressive_cross,5027
-2,920800,-1079200,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,931900,-1068100,TOMATOES,SELL,5025,5,aggressive_cross,5025
-2,941600,-1058400,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,955200,-1044800,TOMATOES,SELL,5011,9,aggressive_cross,5011
-2,965500,-1034500,TOMATOES,SELL,5010,8,aggressive_cross,5010
-2,967600,-1032400,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,986000,-1014000,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,995500,-1004500,EMERALDS,BUY,10000,8,aggressive_cross,10000
