day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-2,3300,-1996700,TOMATOES,BUY,4993,10,aggressive_cross,4993
-2,14600,-1985400,TOMATOES,SELL,4991,5,aggressive_cross,4991
-2,36800,-1963200,TOMATOES,SELL,4997,3,aggressive_cross,4997
-2,42400,-1957600,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,42400,-1957600,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,47200,-1952800,TOMATOES,SELL,5001,5,aggressive_cross,5001
-2,51800,-1948200,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,71500,-1928500,TOMATOES,BUY,5013,5,aggressive_cross,5013
-2,76400,-1923600,TOMATOES,BUY,5014,3,aggressive_cross,5014
-2,89400,-1910600,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,93100,-1906900,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,116300,-1883700,TOMATOES,SELL,5018,6,aggressive_cross,5018
-2,122100,-1877900,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,122800,-1877200,TOMATOES,BUY,5021,7,aggressive_cross,5021
-2,131700,-1868300,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,153600,-1846400,TOMATOES,SELL,5003,9,aggressive_cross,5003
-2,163600,-1836400,TOMATOES,BUY,4994,2,aggressive_cross,4994
-2,179200,-1820800,TOMATOES,SELL,4994,6,aggressive_cross,4994
-2,181700,-1818300,TOMATOES,BUY,4991,8,aggressive_cross,4991
-2,198300,-1801700,TOMATOES,SELL,5000,10,aggressive_cross,5000
-2,210500,-1789500,TOMATOES,SELL,4999,2,aggressive_cross,4999
-2,210800,-1789200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,222300,-1777700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,222300,-1777700,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,222700,-1777300,TOMATOES,SELL,4998,4,aggressive_cross,4998
-2,240100,-1759900,TOMATOES,SELL,4993,2,aggressive_cross,4993
-2,243100,-1756900,TOMATOES,SELL,4994,2,aggressive_cross,4994
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,249200,-1750800,TOMATOES,SELL,4998,4,aggressive_cross,4998
-2,249900,-1750100,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,250700,-1749300,TOMATOES,SELL,4996,6,aggressive_cross,4996
-2,259300,-1740700,TOMATOES,SELL,4995,10,aggressive_cross,4995
-2,272200,-1727800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,274300,-1725700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,295200,-1704800,TOMATOES,BUY,5002,5,aggressive_cross,5002
-2,299400,-1700600,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,305800,-1694200,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,305900,-1694100,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,306600,-1693400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,306600,-1693400,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,335600,-1664400,TOMATOES,BUY,5013,6,aggressive_cross,5013
-2,350500,-1649500,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,387000,-1613000,TOMATOES,SELL,5015,8,aggressive_cross,5015
-2,397600,-1602400,TOMATOES,BUY,5004,10,aggressive_cross,5004
-2,398100,-1601900,TOMATOES,SELL,5008,9,aggressive_cross,5008
-2,403300,-1596700,TOMATOES,BUY,5002,6,aggressive_cross,5002
-2,412100,-1587900,TOMATOES,BUY,5006,10,aggressive_cross,5006
-2,413000,-1587000,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,415600,-1584400,TOMATOES,SELL,5005,5,aggressive_cross,5005
-2,421000,-1579000,EMERALDS,SELL,10000,10,aggressive_cross,10000
-2,437100,-1562900,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,437600,-1562400,TOMATOES,BUY,5008,8,aggressive_cross,5008
-2,455400,-1544600,TOMATOES,SELL,5003,2,aggressive_cross,5003
-2,457100,-1542900,EMERALDS,BUY,10000,10,aggressive_cross,10000
-2,464700,-1535300,TOMATOES,BUY,4999,7,aggressive_cross,4999
-2,482700,-1517300,TOMATOES,BUY,4996,10,aggressive_cross,4996
-2,488800,-1511200,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,494600,-1505400,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,494600,-1505400,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,497500,-1502500,TOMATOES,SELL,4992,10,aggressive_cross,4992
-2,500500,-1499500,TOMATOES,SELL,4992,4,aggressive_cross,4992
-2,501100,-1498900,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,519500,-1480500,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,527900,-1472100,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,528100,-1471900,TOMATOES,SELL,4991,2,aggressive_cross,4991
-2,530800,-1469200,TOMATOES,SELL,4993,2,aggressive_cross,4993
-2,533600,-1466400,TOMATOES,SELL,4995,4,aggressive_cross,4995
-2,549800,-1450200,TOMATOES,SELL,5004,5,aggressive_cross,5004
-2,574200,-1425800,TOMATOES,SELL,4997,10,aggressive_cross,4997
-2,587300,-1412700,TOMATOES,BUY,4999,9,aggressive_cross,4999
-2,588300,-1411700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,599500,-1400500,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,603400,-1396600,TOMATOES,BUY,5008,10,aggressive_cross,5008
-2,605000,-1395000,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,622200,-1377800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,622200,-1377800,EMERALDS,SELL,10000,10,aggressive_cross,10000
-2,625300,-1374700,TOMATOES,BUY,4998,10,aggressive_cross,4998
-2,631000,-1369000,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,650100,-1349900,TOMATOES,BUY,5015,5,aggressive_cross,5015
-2,654000,-1346000,TOMATOES,BUY,5018,6,aggressive_cross,5018
-2,660400,-1339600,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,660400,-1339600,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,674700,-1325300,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,681200,-1318800,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,710100,-1289900,TOMATOES,SELL,5000,7,aggressive_cross,5000
-2,714600,-1285400,TOMATOES,SELL,5002,5,aggressive_cross,5002
-2,716800,-1283200,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,716800,-1283200,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,727800,-1272200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,727900,-1272100,TOMATOES,SELL,5001,3,aggressive_cross,5001
-2,745000,-1255000,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,758000,-1242000,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,762900,-1237100,TOMATOES,SELL,5008,9,aggressive_cross,5008
-2,780100,-1219900,TOMATOES,SELL,5019,8,aggressive_cross,5019
-2,782200,-1217800,TOMATOES,BUY,5017,7,aggressive_cross,5017
-2,784400,-1215600,TOMATOES,BUY,5014,5,aggressive_cross,5014
-2,790700,-1209300,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,790700,-1209300,EMERALDS,BUY,10000,10,aggressive_cross,10000
-2,794800,-1205200,TOMATOES,BUY,5015,6,aggressive_cross,5015
-2,799500,-1200500,TOMATOES,BUY,5022,6,aggressive_cross,5022
-2,806300,-1193700,TOMATOES,BUY,5021,2,aggressive_cross,5021
-2,807500,-1192500,TOMATOES,BUY,5020,10,aggressive_cross,5020
-2,812400,-1187600,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,817700,-1182300,TOMATOES,BUY,5031,4,aggressive_cross,5031
-2,818200,-1181800,TOMATOES,BUY,5030,7,aggressive_cross,5030
-2,818700,-1181300,EMERALDS,SELL,10000,5,aggressive_cross,10000
