day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-2,22400,-1977600,TOMATOES,SELL,4988,7,aggressive_cross,4988
-2,42400,-1957600,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,42400,-1957600,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,51800,-1948200,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,89400,-1910600,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,93100,-1906900,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,122100,-1877900,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,131700,-1868300,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,210800,-1789200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,222300,-1777700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,222300,-1777700,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,238000,-1762000,TOMATOES,SELL,4991,5,aggressive_cross,4991
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,249900,-1750100,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,250400,-1749600,TOMATOES,SELL,4991,8,aggressive_cross,4991
-2,272200,-1727800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,274300,-1725700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,299400,-1700600,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,305800,-1694200,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,305900,-1694100,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,306600,-1693400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,306600,-1693400,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,350500,-1649500,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,413000,-1587000,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,421000,-1579000,EMERALDS,SELL,10000,10,aggressive_cross,10000
-2,437100,-1562900,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,457100,-1542900,EMERALDS,BUY,10000,10,aggressive_cross,10000
-2,488800,-1511200,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,492900,-1507100,TOMATOES,BUY,5002,7,aggressive_cross,5002
-2,494600,-1505400,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,494600,-1505400,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,501100,-1498900,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,519500,-1480500,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,527900,-1472100,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,588300,-1411700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,599500,-1400500,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,605000,-1395000,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,622200,-1377800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,622200,-1377800,EMERALDS,SELL,10000,10,aggressive_cross,10000
-2,631000,-1369000,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,660400,-1339600,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,660400,-1339600,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,674700,-1325300,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,681200,-1318800,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,716800,-1283200,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,716800,-1283200,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,727800,-1272200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,745000,-1255000,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,758000,-1242000,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,790700,-1209300,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,790700,-1209300,EMERALDS,BUY,10000,10,aggressive_cross,10000
-2,812400,-1187600,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,818700,-1181300,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,838300,-1161700,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,848700,-1151300,TOMATOES,BUY,5026,5,aggressive_cross,5026
-2,853300,-1146700,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,853300,-1146700,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,875100,-1124900,TOMATOES,BUY,5033,5,aggressive_cross,5033
-2,909900,-1090100,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,941600,-1058400,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,945300,-1054700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,950600,-1049400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,950600,-1049400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,966900,-1033100,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,967600,-1032400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,967600,-1032400,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,978500,-1021500,TOMATOES,SELL,5006,5,aggressive_cross,5006
