day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-2,3300,-1996700,TOMATOES,BUY,4993,10,aggressive_cross,4993
-2,26800,-1973200,TOMATOES,BUY,4994,10,aggressive_cross,4994
-2,27700,-1972300,TOMATOES,SELL,4994,3,aggressive_cross,4994
-2,42400,-1957600,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,42400,-1957600,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,51800,-1948200,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,89400,-1910600,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,93100,-1906900,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,122100,-1877900,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,131700,-1868300,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,140800,-1859200,TOMATOES,SELL,5006,8,aggressive_cross,5006
-2,153600,-1846400,TOMATOES,SELL,5003,9,aggressive_cross,5003
-2,163600,-1836400,TOMATOES,BUY,4994,2,aggressive_cross,4994
-2,179200,-1820800,TOMATOES,SELL,4994,6,aggressive_cross,4994
-2,210800,-1789200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,222300,-1777700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,222300,-1777700,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,222700,-1777300,TOMATOES,SELL,4998,4,aggressive_cross,4998
-2,243100,-1756900,TOMATOES,SELL,4994,2,aggressive_cross,4994
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,249900,-1750100,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,250700,-1749300,TOMATOES,SELL,4996,6,aggressive_cross,4996
-2,270900,-1729100,TOMATOES,SELL,5000,10,aggressive_cross,5000
-2,272200,-1727800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,274300,-1725700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,277500,-1722500,TOMATOES,SELL,5007,5,aggressive_cross,5007
-2,295200,-1704800,TOMATOES,BUY,5002,5,aggressive_cross,5002
-2,299400,-1700600,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,305800,-1694200,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,305900,-1694100,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,306600,-1693400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,306600,-1693400,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,314100,-1685900,TOMATOES,SELL,5002,9,aggressive_cross,5002
-2,350500,-1649500,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,386100,-1613900,TOMATOES,SELL,5015,6,aggressive_cross,5015
-2,397600,-1602400,TOMATOES,BUY,5004,10,aggressive_cross,5004
-2,412100,-1587900,TOMATOES,BUY,5006,10,aggressive_cross,5006
-2,413000,-1587000,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,417900,-1582100,TOMATOES,SELL,5009,7,aggressive_cross,5009
-2,421000,-1579000,EMERALDS,SELL,10000,10,aggressive_cross,10000
-2,437100,-1562900,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,441400,-1558600,TOMATOES,BUY,5004,10,aggressive_cross,5004
-2,457100,-1542900,EMERALDS,BUY,10000,10,aggressive_cross,10000
-2,464700,-1535300,TOMATOES,BUY,4999,7,aggressive_cross,4999
-2,488800,-1511200,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,494600,-1505400,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,494600,-1505400,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,501100,-1498900,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,519500,-1480500,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,527900,-1472100,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,546000,-1454000,TOMATOES,SELL,5008,8,aggressive_cross,5008
-2,588300,-1411700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,599500,-1400500,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,605000,-1395000,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,622200,-1377800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,622200,-1377800,EMERALDS,SELL,10000,10,aggressive_cross,10000
-2,625300,-1374700,TOMATOES,BUY,4998,10,aggressive_cross,4998
-2,631000,-1369000,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,650100,-1349900,TOMATOES,BUY,5015,5,aggressive_cross,5015
-2,658800,-1341200,TOMATOES,BUY,5016,7,aggressive_cross,5016
-2,660400,-1339600,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,660400,-1339600,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,674700,-1325300,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,681200,-1318800,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,716800,-1283200,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,716800,-1283200,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,727800,-1272200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,745000,-1255000,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,758000,-1242000,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,777500,-1222500,TOMATOES,SELL,5020,10,aggressive_cross,5020
-2,790700,-1209300,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,790700,-1209300,EMERALDS,BUY,10000,10,aggressive_cross,10000
-2,806300,-1193700,TOMATOES,BUY,5021,2,aggressive_cross,5021
-2,807500,-1192500,TOMATOES,BUY,5020,10,aggressive_cross,5020
-2,812400,-1187600,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,818200,-1181800,TOMATOES,BUY,5030,7,aggressive_cross,5030
-2,818700,-1181300,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,838300,-1161700,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,853300,-1146700,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,853300,-1146700,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,867600,-1132400,TOMATOES,SELL,5031,10,aggressive_cross,5031
-2,870900,-1129100,TOMATOES,BUY,5024,10,aggressive_cross,5024
-2,875100,-1124900,TOMATOES,SELL,5027,10,aggressive_cross,5027
-2,909900,-1090100,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,931900,-1068100,TOMATOES,SELL,5025,5,aggressive_cross,5025
-2,941600,-1058400,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,945300,-1054700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,950600,-1049400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,950600,-1049400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,955200,-1044800,TOMATOES,SELL,5011,9,aggressive_cross,5011
-2,965500,-1034500,TOMATOES,SELL,5010,8,aggressive_cross,5010
-2,966900,-1033100,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,967600,-1032400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,967600,-1032400,EMERALDS,BUY,10000,7,aggressive_cross,10000
