day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-2,100,-1999900,TOMATOES,BUY,5007,7,aggressive_cross,5007
-2,1300,-1998700,TOMATOES,SELL,4999,3,aggressive_cross,4999
-2,3300,-1996700,TOMATOES,BUY,4993,10,aggressive_cross,4993
-2,3400,-1996600,TOMATOES,SELL,4988,10,aggressive_cross,4988
-2,3500,-1996500,TOMATOES,SELL,4988,7,aggressive_cross,4988
-2,6800,-1993200,TOMATOES,BUY,4992,10,aggressive_cross,4992
-2,7000,-1993000,TOMATOES,SELL,4987,5,aggressive_cross,4987
-2,7100,-1992900,TOMATOES,SELL,4987,6,aggressive_cross,4987
-2,8200,-1991800,TOMATOES,SELL,4994,5,aggressive_cross,4994
-2,8300,-1991700,TOMATOES,BUY,5000,5,aggressive_cross,5000
-2,9300,-1990700,TOMATOES,SELL,4993,5,aggressive_cross,4993
-2,13100,-1986900,TOMATOES,SELL,4992,6,aggressive_cross,4992
-2,13600,-1986400,TOMATOES,SELL,4991,3,aggressive_cross,4991
-2,14600,-1985400,TOMATOES,SELL,4991,5,aggressive_cross,4991
-2,16200,-1983800,TOMATOES,SELL,4991,4,aggressive_cross,4991
-2,16400,-1983600,TOMATOES,BUY,4992,6,aggressive_cross,4992
-2,18000,-1982000,TOMATOES,SELL,4990,3,aggressive_cross,4990
-2,18700,-1981300,TOMATOES,SELL,4993,3,aggressive_cross,4993
-2,22300,-1977700,TOMATOES,BUY,4993,9,aggressive_cross,4993
-2,22500,-1977500,TOMATOES,SELL,4987,9,aggressive_cross,4987
-2,25800,-1974200,TOMATOES,SELL,4994,3,aggressive_cross,4994
-2,26800,-1973200,TOMATOES,BUY,4994,10,aggressive_cross,4994
-2,27000,-1973000,TOMATOES,SELL,4988,9,aggressive_cross,4988
-2,27400,-1972600,TOMATOES,BUY,4995,6,aggressive_cross,4995
-2,27700,-1972300,TOMATOES,SELL,4994,3,aggressive_cross,4994
-2,28100,-1971900,TOMATOES,BUY,4994,5,aggressive_cross,4994
-2,28200,-1971800,TOMATOES,SELL,4988,10,aggressive_cross,4988
-2,28300,-1971700,TOMATOES,SELL,4989,7,aggressive_cross,4989
-2,28800,-1971200,TOMATOES,BUY,5002,7,aggressive_cross,5002
-2,30100,-1969900,TOMATOES,SELL,4996,6,aggressive_cross,4996
-2,30500,-1969500,TOMATOES,BUY,4996,8,aggressive_cross,4996
-2,30600,-1969400,TOMATOES,SELL,4991,10,aggressive_cross,4991
-2,30700,-1969300,TOMATOES,SELL,4992,9,aggressive_cross,4992
-2,30900,-1969100,TOMATOES,BUY,4997,10,aggressive_cross,4997
-2,32800,-1967200,TOMATOES,BUY,4997,5,aggressive_cross,4997
-2,32900,-1967100,TOMATOES,SELL,4991,8,aggressive_cross,4991
-2,33000,-1967000,TOMATOES,SELL,4992,7,aggressive_cross,4992
-2,35500,-1964500,TOMATOES,BUY,4998,6,aggressive_cross,4998
-2,36800,-1963200,TOMATOES,SELL,4997,3,aggressive_cross,4997
-2,38700,-1961300,TOMATOES,SELL,4996,4,aggressive_cross,4996
-2,38900,-1961100,TOMATOES,BUY,5004,9,aggressive_cross,5004
-2,39400,-1960600,TOMATOES,SELL,4989,6,aggressive_cross,4989
-2,41200,-1958800,TOMATOES,SELL,4992,2,aggressive_cross,4992
-2,41500,-1958500,TOMATOES,BUY,4996,6,aggressive_cross,4996
-2,42400,-1957600,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,42400,-1957600,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,46800,-1953200,TOMATOES,BUY,5002,5,aggressive_cross,5002
-2,47200,-1952800,TOMATOES,SELL,5001,5,aggressive_cross,5001
-2,47500,-1952500,TOMATOES,BUY,5011,6,aggressive_cross,5011
-2,51800,-1948200,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,52300,-1947700,TOMATOES,SELL,5002,4,aggressive_cross,5002
-2,53800,-1946200,TOMATOES,BUY,5001,6,aggressive_cross,5001
-2,53900,-1946100,TOMATOES,SELL,4994,8,aggressive_cross,4994
-2,55000,-1945000,TOMATOES,BUY,5001,3,aggressive_cross,5001
-2,58000,-1942000,TOMATOES,SELL,4999,3,aggressive_cross,4999
-2,59800,-1940200,TOMATOES,BUY,5005,5,aggressive_cross,5005
-2,63000,-1937000,TOMATOES,BUY,5007,6,aggressive_cross,5007
-2,65300,-1934700,TOMATOES,SELL,5009,5,aggressive_cross,5009
-2,66900,-1933100,TOMATOES,BUY,5013,4,aggressive_cross,5013
-2,70000,-1930000,TOMATOES,SELL,5013,10,aggressive_cross,5013
-2,70100,-1929900,TOMATOES,BUY,5020,5,aggressive_cross,5020
-2,70200,-1929800,TOMATOES,BUY,5019,8,aggressive_cross,5019
-2,71500,-1928500,TOMATOES,BUY,5013,5,aggressive_cross,5013
-2,73800,-1926200,TOMATOES,SELL,5013,3,aggressive_cross,5013
-2,74400,-1925600,TOMATOES,SELL,5013,6,aggressive_cross,5013
-2,75600,-1924400,TOMATOES,SELL,5011,6,aggressive_cross,5011
-2,76400,-1923600,TOMATOES,BUY,5014,3,aggressive_cross,5014
-2,77400,-1922600,TOMATOES,BUY,5016,6,aggressive_cross,5016
-2,77600,-1922400,TOMATOES,SELL,5015,2,aggressive_cross,5015
-2,77700,-1922300,TOMATOES,BUY,5023,7,aggressive_cross,5023
-2,79100,-1920900,TOMATOES,SELL,5013,5,aggressive_cross,5013
-2,80400,-1919600,TOMATOES,BUY,5016,4,aggressive_cross,5016
-2,81900,-1918100,TOMATOES,BUY,5017,4,aggressive_cross,5017
-2,82100,-1917900,TOMATOES,SELL,5017,10,aggressive_cross,5017
-2,88800,-1911200,TOMATOES,BUY,5019,4,aggressive_cross,5019
-2,88900,-1911100,TOMATOES,SELL,5013,7,aggressive_cross,5013
-2,89400,-1910600,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,90800,-1909200,TOMATOES,BUY,5021,3,aggressive_cross,5021
-2,91700,-1908300,TOMATOES,BUY,5017,10,aggressive_cross,5017
-2,91800,-1908200,TOMATOES,SELL,5013,5,aggressive_cross,5013
-2,91900,-1908100,TOMATOES,SELL,5013,10,aggressive_cross,5013
-2,92400,-1907600,TOMATOES,BUY,5027,8,aggressive_cross,5027
-2,93100,-1906900,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,93100,-1906900,TOMATOES,SELL,5018,6,aggressive_cross,5018
-2,95700,-1904300,TOMATOES,BUY,5023,8,aggressive_cross,5023
-2,97200,-1902800,TOMATOES,BUY,5024,9,aggressive_cross,5024
-2,98900,-1901100,TOMATOES,SELL,5015,3,aggressive_cross,5015
-2,99300,-1900700,TOMATOES,BUY,5017,2,aggressive_cross,5017
-2,99600,-1900400,TOMATOES,SELL,5011,8,aggressive_cross,5011
-2,99800,-1900200,TOMATOES,BUY,5018,4,aggressive_cross,5018
-2,100500,-1899500,TOMATOES,BUY,5026,7,aggressive_cross,5026
-2,102000,-1898000,TOMATOES,SELL,5019,8,aggressive_cross,5019
-2,102400,-1897600,TOMATOES,BUY,5020,4,aggressive_cross,5020
-2,103200,-1896800,TOMATOES,BUY,5018,10,aggressive_cross,5018
-2,108500,-1891500,TOMATOES,BUY,5020,2,aggressive_cross,5020
-2,109200,-1890800,TOMATOES,BUY,5026,7,aggressive_cross,5026
-2,112000,-1888000,TOMATOES,SELL,5016,5,aggressive_cross,5016
-2,112800,-1887200,TOMATOES,SELL,5017,2,aggressive_cross,5017
-2,116300,-1883700,TOMATOES,SELL,5018,6,aggressive_cross,5018
-2,116600,-1883400,TOMATOES,BUY,5018,3,aggressive_cross,5018
-2,116800,-1883200,TOMATOES,SELL,5010,10,aggressive_cross,5010
-2,117000,-1883000,TOMATOES,SELL,5009,8,aggressive_cross,5009
-2,117800,-1882200,TOMATOES,BUY,5018,4,aggressive_cross,5018
-2,118200,-1881800,TOMATOES,SELL,5016,3,aggressive_cross,5016
-2,118500,-1881500,TOMATOES,BUY,5024,10,aggressive_cross,5024
-2,119000,-1881000,TOMATOES,BUY,5016,7,aggressive_cross,5016
-2,119100,-1880900,TOMATOES,SELL,5010,5,aggressive_cross,5010
-2,121200,-1878800,TOMATOES,BUY,5016,8,aggressive_cross,5016
-2,121300,-1878700,TOMATOES,SELL,5012,5,aggressive_cross,5012
-2,121400,-1878600,TOMATOES,SELL,5012,5,aggressive_cross,5012
-2,121500,-1878500,TOMATOES,SELL,5013,9,aggressive_cross,5013
-2,122100,-1877900,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,122800,-1877200,TOMATOES,BUY,5021,7,aggressive_cross,5021
-2,122900,-1877100,TOMATOES,SELL,5015,9,aggressive_cross,5015
-2,123200,-1876800,TOMATOES,SELL,5020,6,aggressive_cross,5020
-2,123300,-1876700,TOMATOES,BUY,5027,6,aggressive_cross,5027
-2,124200,-1875800,TOMATOES,SELL,5018,3,aggressive_cross,5018
-2,127600,-1872400,TOMATOES,BUY,5017,3,aggressive_cross,5017
-2,131100,-1868900,TOMATOES,BUY,5014,2,aggressive_cross,5014
-2,131200,-1868800,TOMATOES,SELL,5007,10,aggressive_cross,5007
-2,131700,-1868300,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,132300,-1867700,TOMATOES,SELL,5012,4,aggressive_cross,5012
-2,132700,-1867300,TOMATOES,BUY,5020,5,aggressive_cross,5020
-2,135400,-1864600,TOMATOES,BUY,5008,6,aggressive_cross,5008
-2,135500,-1864500,TOMATOES,SELL,5003,10,aggressive_cross,5003
-2,137200,-1862800,TOMATOES,BUY,5010,3,aggressive_cross,5010
-2,140800,-1859200,TOMATOES,SELL,5006,8,aggressive_cross,5006
-2,140900,-1859100,TOMATOES,BUY,5003,9,aggressive_cross,5003
-2,143600,-1856400,TOMATOES,BUY,5008,4,aggressive_cross,5008
-2,148000,-1852000,TOMATOES,SELL,5000,2,aggressive_cross,5000
-2,149400,-1850600,TOMATOES,BUY,5003,3,aggressive_cross,5003
-2,151300,-1848700,TOMATOES,SELL,5001,10,aggressive_cross,5001
-2,151700,-1848300,TOMATOES,BUY,5007,7,aggressive_cross,5007
-2,152800,-1847200,TOMATOES,BUY,5010,7,aggressive_cross,5010
-2,153600,-1846400,TOMATOES,SELL,5003,9,aggressive_cross,5003
-2,155800,-1844200,TOMATOES,SELL,5001,10,aggressive_cross,5001
-2,156400,-1843600,TOMATOES,SELL,4999,2,aggressive_cross,4999
-2,160700,-1839300,TOMATOES,BUY,4997,6,aggressive_cross,4997
-2,161400,-1838600,TOMATOES,BUY,5003,9,aggressive_cross,5003
-2,163600,-1836400,TOMATOES,BUY,4994,2,aggressive_cross,4994
-2,164000,-1836000,TOMATOES,SELL,4993,3,aggressive_cross,4993
-2,164200,-1835800,TOMATOES,BUY,5001,7,aggressive_cross,5001
-2,164300,-1835700,TOMATOES,BUY,5001,9,aggressive_cross,5001
-2,166000,-1834000,TOMATOES,SELL,4997,6,aggressive_cross,4997
-2,169300,-1830700,TOMATOES,BUY,5000,3,aggressive_cross,5000
-2,169600,-1830400,TOMATOES,BUY,4998,7,aggressive_cross,4998
-2,169700,-1830300,TOMATOES,SELL,4993,7,aggressive_cross,4993
-2,172900,-1827100,TOMATOES,SELL,5000,10,aggressive_cross,5000
-2,174000,-1826000,TOMATOES,SELL,4999,9,aggressive_cross,4999
-2,174500,-1825500,TOMATOES,SELL,4990,6,aggressive_cross,4990
-2,174600,-1825400,TOMATOES,SELL,4991,7,aggressive_cross,4991
-2,174700,-1825300,TOMATOES,SELL,4992,9,aggressive_cross,4992
-2,175000,-1825000,TOMATOES,BUY,5003,7,aggressive_cross,5003
-2,176700,-1823300,TOMATOES,BUY,4992,10,aggressive_cross,4992
-2,176800,-1823200,TOMATOES,SELL,4987,10,aggressive_cross,4987
-2,177400,-1822600,TOMATOES,BUY,5001,8,aggressive_cross,5001
-2,179200,-1820800,TOMATOES,SELL,4994,6,aggressive_cross,4994
-2,180100,-1819900,TOMATOES,SELL,4995,10,aggressive_cross,4995
-2,180200,-1819800,TOMATOES,BUY,5001,10,aggressive_cross,5001
-2,180300,-1819700,TOMATOES,BUY,5000,5,aggressive_cross,5000
-2,181700,-1818300,TOMATOES,BUY,4991,8,aggressive_cross,4991
-2,181800,-1818200,TOMATOES,SELL,4986,8,aggressive_cross,4986
-2,182400,-1817600,TOMATOES,BUY,5000,6,aggressive_cross,5000
-2,182700,-1817300,TOMATOES,BUY,4993,8,aggressive_cross,4993
-2,184800,-1815200,TOMATOES,BUY,4991,7,aggressive_cross,4991
-2,184900,-1815100,TOMATOES,SELL,4986,6,aggressive_cross,4986
-2,190800,-1809200,TOMATOES,SELL,4994,6,aggressive_cross,4994
-2,192700,-1807300,TOMATOES,BUY,4997,10,aggressive_cross,4997
-2,193300,-1806700,TOMATOES,BUY,5004,7,aggressive_cross,5004
-2,195300,-1804700,TOMATOES,SELL,4996,2,aggressive_cross,4996
-2,195500,-1804500,TOMATOES,BUY,5003,6,aggressive_cross,5003
-2,195600,-1804400,TOMATOES,BUY,4997,3,aggressive_cross,4997
-2,195700,-1804300,TOMATOES,SELL,4994,5,aggressive_cross,4994
-2,195900,-1804100,TOMATOES,SELL,4990,7,aggressive_cross,4990
-2,196000,-1804000,TOMATOES,SELL,4990,9,aggressive_cross,4990
-2,198300,-1801700,TOMATOES,SELL,5000,10,aggressive_cross,5000
-2,198400,-1801600,TOMATOES,BUY,5000,2,aggressive_cross,5000
-2,204600,-1795400,TOMATOES,SELL,4999,3,aggressive_cross,4999
-2,206700,-1793300,TOMATOES,BUY,5002,5,aggressive_cross,5002
-2,208700,-1791300,TOMATOES,SELL,5004,8,aggressive_cross,5004
-2,208900,-1791100,TOMATOES,BUY,5004,6,aggressive_cross,5004
-2,209800,-1790200,TOMATOES,SELL,5000,5,aggressive_cross,5000
-2,210000,-1790000,TOMATOES,BUY,5002,3,aggressive_cross,5002
-2,210500,-1789500,TOMATOES,SELL,4999,2,aggressive_cross,4999
-2,210600,-1789400,TOMATOES,BUY,5007,10,aggressive_cross,5007
-2,210800,-1789200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,212100,-1787900,TOMATOES,SELL,5001,2,aggressive_cross,5001
-2,212200,-1787800,TOMATOES,BUY,5001,9,aggressive_cross,5001
-2,212300,-1787700,TOMATOES,SELL,4996,7,aggressive_cross,4996
-2,215200,-1784800,TOMATOES,BUY,5001,5,aggressive_cross,5001
-2,215300,-1784700,TOMATOES,SELL,4994,5,aggressive_cross,4994
-2,215500,-1784500,TOMATOES,SELL,4993,6,aggressive_cross,4993
-2,215600,-1784400,TOMATOES,SELL,4993,7,aggressive_cross,4993
-2,216600,-1783400,TOMATOES,SELL,4991,9,aggressive_cross,4991
-2,216700,-1783300,TOMATOES,SELL,4990,7,aggressive_cross,4990
-2,220100,-1779900,TOMATOES,BUY,4996,8,aggressive_cross,4996
