day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-2,100,-1999900,TOMATOES,BUY,5007,7,aggressive_cross,5007
-2,3300,-1996700,TOMATOES,BUY,4993,10,aggressive_cross,4993
-2,6800,-1993200,TOMATOES,BUY,4992,10,aggressive_cross,4992
-2,8200,-1991800,TOMATOES,SELL,4994,5,aggressive_cross,4994
-2,9300,-1990700,TOMATOES,SELL,4993,5,aggressive_cross,4993
-2,13100,-1986900,TOMATOES,SELL,4992,6,aggressive_cross,4992
-2,13600,-1986400,TOMATOES,SELL,4991,3,aggressive_cross,4991
-2,14600,-1985400,TOMATOES,SELL,4991,5,aggressive_cross,4991
-2,16400,-1983600,TOMATOES,BUY,4992,6,aggressive_cross,4992
-2,18700,-1981300,TOMATOES,SELL,4993,3,aggressive_cross,4993
-2,26800,-1973200,TOMATOES,BUY,4994,10,aggressive_cross,4994
-2,27700,-1972300,TOMATOES,SELL,4994,3,aggressive_cross,4994
-2,28200,-1971800,TOMATOES,SELL,4988,10,aggressive_cross,4988
-2,28300,-1971700,TOMATOES,SELL,4989,7,aggressive_cross,4989
-2,30500,-1969500,TOMATOES,BUY,4996,8,aggressive_cross,4996
-2,36800,-1963200,TOMATOES,SELL,4997,3,aggressive_cross,4997
-2,41500,-1958500,TOMATOES,BUY,4996,6,aggressive_cross,4996
-2,42400,-1957600,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,42400,-1957600,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,47200,-1952800,TOMATOES,SELL,5001,5,aggressive_cross,5001
-2,51800,-1948200,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,52300,-1947700,TOMATOES,SELL,5002,4,aggressive_cross,5002
-2,70000,-1930000,TOMATOES,SELL,5013,10,aggressive_cross,5013
-2,71500,-1928500,TOMATOES,BUY,5013,5,aggressive_cross,5013
-2,76400,-1923600,TOMATOES,BUY,5014,3,aggressive_cross,5014
-2,80400,-1919600,TOMATOES,BUY,5016,4,aggressive_cross,5016
-2,81900,-1918100,TOMATOES,BUY,5017,4,aggressive_cross,5017
-2,82100,-1917900,TOMATOES,SELL,5017,10,aggressive_cross,5017
-2,89400,-1910600,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,90800,-1909200,TOMATOES,BUY,5021,3,aggressive_cross,5021
-2,91700,-1908300,TOMATOES,BUY,5017,10,aggressive_cross,5017
-2,93100,-1906900,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,93100,-1906900,TOMATOES,SELL,5018,6,aggressive_cross,5018
-2,99300,-1900700,TOMATOES,BUY,5017,2,aggressive_cross,5017
-2,103200,-1896800,TOMATOES,BUY,5018,10,aggressive_cross,5018
-2,112000,-1888000,TOMATOES,SELL,5016,5,aggressive_cross,5016
-2,116300,-1883700,TOMATOES,SELL,5018,6,aggressive_cross,5018
-2,117800,-1882200,TOMATOES,BUY,5018,4,aggressive_cross,5018
-2,118200,-1881800,TOMATOES,SELL,5016,3,aggressive_cross,5016
-2,121200,-1878800,TOMATOES,BUY,5016,8,aggressive_cross,5016
-2,122100,-1877900,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,124200,-1875800,TOMATOES,SELL,5018,3,aggressive_cross,5018
-2,131700,-1868300,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,135400,-1864600,TOMATOES,BUY,5008,6,aggressive_cross,5008
-2,140800,-1859200,TOMATOES,SELL,5006,8,aggressive_cross,5006
-2,140900,-1859100,TOMATOES,BUY,5003,9,aggressive_cross,5003
-2,151300,-1848700,TOMATOES,SELL,5001,10,aggressive_cross,5001
-2,153600,-1846400,TOMATOES,SELL,5003,9,aggressive_cross,5003
-2,155800,-1844200,TOMATOES,SELL,5001,10,aggressive_cross,5001
-2,160700,-1839300,TOMATOES,BUY,4997,6,aggressive_cross,4997
-2,163600,-1836400,TOMATOES,BUY,4994,2,aggressive_cross,4994
-2,169300,-1830700,TOMATOES,BUY,5000,3,aggressive_cross,5000
-2,169600,-1830400,TOMATOES,BUY,4998,7,aggressive_cross,4998
-2,172900,-1827100,TOMATOES,SELL,5000,10,aggressive_cross,5000
-2,176700,-1823300,TOMATOES,BUY,4992,10,aggressive_cross,4992
-2,179200,-1820800,TOMATOES,SELL,4994,6,aggressive_cross,4994
-2,180100,-1819900,TOMATOES,SELL,4995,10,aggressive_cross,4995
-2,181700,-1818300,TOMATOES,BUY,4991,8,aggressive_cross,4991
-2,182700,-1817300,TOMATOES,BUY,4993,8,aggressive_cross,4993
-2,190800,-1809200,TOMATOES,SELL,4994,6,aggressive_cross,4994
-2,192700,-1807300,TOMATOES,BUY,4997,10,aggressive_cross,4997
-2,195600,-1804400,TOMATOES,BUY,4997,3,aggressive_cross,4997
-2,195700,-1804300,TOMATOES,SELL,4994,5,aggressive_cross,4994
-2,198300,-1801700,TOMATOES,SELL,5000,10,aggressive_cross,5000
-2,198400,-1801600,TOMATOES,BUY,5000,2,aggressive_cross,5000
-2,204600,-1795400,TOMATOES,SELL,4999,3,aggressive_cross,4999
-2,208900,-1791100,TOMATOES,BUY,5004,6,aggressive_cross,5004
-2,209800,-1790200,TOMATOES,SELL,5000,5,aggressive_cross,5000
-2,210500,-1789500,TOMATOES,SELL,4999,2,aggressive_cross,4999
-2,210800,-1789200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,212100,-1787900,TOMATOES,SELL,5001,2,aggressive_cross,5001
-2,216600,-1783400,TOMATOES,SELL,4991,9,aggressive_cross,4991
-2,222300,-1777700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,222300,-1777700,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,224500,-1775500,TOMATOES,SELL,4996,2,aggressive_cross,4996
-2,231400,-1768600,TOMATOES,SELL,4994,3,aggressive_cross,4994
-2,240100,-1759900,TOMATOES,SELL,4993,2,aggressive_cross,4993
-2,243100,-1756900,TOMATOES,SELL,4994,2,aggressive_cross,4994
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,249200,-1750800,TOMATOES,SELL,4998,4,aggressive_cross,4998
-2,249900,-1750100,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,250400,-1749600,TOMATOES,BUY,4996,10,aggressive_cross,4996
-2,250700,-1749300,TOMATOES,SELL,4996,6,aggressive_cross,4996
-2,252500,-1747500,TOMATOES,SELL,4990,7,aggressive_cross,4990
-2,259300,-1740700,TOMATOES,SELL,4995,10,aggressive_cross,4995
-2,260500,-1739500,TOMATOES,BUY,4995,5,aggressive_cross,4995
-2,265900,-1734100,TOMATOES,SELL,4996,2,aggressive_cross,4996
-2,270900,-1729100,TOMATOES,SELL,5000,10,aggressive_cross,5000
-2,271900,-1728100,TOMATOES,BUY,5001,3,aggressive_cross,5001
-2,272200,-1727800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,274300,-1725700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,278000,-1722000,TOMATOES,BUY,5008,4,aggressive_cross,5008
-2,281400,-1718600,TOMATOES,BUY,5011,2,aggressive_cross,5011
-2,286000,-1714000,TOMATOES,BUY,5010,6,aggressive_cross,5010
-2,290100,-1709900,TOMATOES,BUY,5001,10,aggressive_cross,5001
-2,290500,-1709500,TOMATOES,BUY,5001,10,aggressive_cross,5001
-2,292200,-1707800,TOMATOES,SELL,5000,6,aggressive_cross,5000
-2,293300,-1706700,TOMATOES,SELL,5000,5,aggressive_cross,5000
-2,294200,-1705800,TOMATOES,BUY,5003,5,aggressive_cross,5003
-2,295200,-1704800,TOMATOES,BUY,5002,5,aggressive_cross,5002
-2,299400,-1700600,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,301600,-1698400,TOMATOES,SELL,5002,6,aggressive_cross,5002
-2,305800,-1694200,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,305900,-1694100,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,306600,-1693400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,306600,-1693400,EMERALDS,BUY,10000,7,aggressive_cross,10000
-2,310700,-1689300,TOMATOES,SELL,5003,2,aggressive_cross,5003
-2,311400,-1688600,TOMATOES,SELL,4997,7,aggressive_cross,4997
-2,312900,-1687100,TOMATOES,SELL,5003,10,aggressive_cross,5003
-2,314100,-1685900,TOMATOES,SELL,5002,9,aggressive_cross,5002
-2,314500,-1685500,TOMATOES,BUY,5003,3,aggressive_cross,5003
-2,319600,-1680400,TOMATOES,BUY,5006,5,aggressive_cross,5006
-2,323700,-1676300,TOMATOES,BUY,5006,3,aggressive_cross,5006
-2,326500,-1673500,TOMATOES,BUY,5005,7,aggressive_cross,5005
-2,333600,-1666400,TOMATOES,BUY,5016,2,aggressive_cross,5016
-2,350500,-1649500,EMERALDS,SELL,10000,7,aggressive_cross,10000
-2,352800,-1647200,TOMATOES,BUY,5017,4,aggressive_cross,5017
-2,359100,-1640900,TOMATOES,SELL,5017,10,aggressive_cross,5017
-2,361000,-1639000,TOMATOES,BUY,5016,6,aggressive_cross,5016
-2,369900,-1630100,TOMATOES,SELL,5013,4,aggressive_cross,5013
-2,382700,-1617300,TOMATOES,SELL,5018,8,aggressive_cross,5018
-2,383400,-1616600,TOMATOES,SELL,5015,3,aggressive_cross,5015
-2,387000,-1613000,TOMATOES,SELL,5015,8,aggressive_cross,5015
-2,389900,-1610100,TOMATOES,BUY,5012,9,aggressive_cross,5012
-2,397600,-1602400,TOMATOES,BUY,5004,10,aggressive_cross,5004
-2,398100,-1601900,TOMATOES,SELL,5008,9,aggressive_cross,5008
-2,398300,-1601700,TOMATOES,BUY,5012,5,aggressive_cross,5012
-2,398700,-1601300,TOMATOES,SELL,5007,10,aggressive_cross,5007
-2,403300,-1596700,TOMATOES,BUY,5002,6,aggressive_cross,5002
-2,405200,-1594800,TOMATOES,BUY,5006,10,aggressive_cross,5006
-2,409800,-1590200,TOMATOES,BUY,5008,10,aggressive_cross,5008
-2,410000,-1590000,TOMATOES,SELL,5009,10,aggressive_cross,5009
-2,410100,-1589900,TOMATOES,BUY,5008,5,aggressive_cross,5008
-2,412100,-1587900,TOMATOES,BUY,5006,10,aggressive_cross,5006
-2,412600,-1587400,TOMATOES,SELL,5000,6,aggressive_cross,5000
-2,413000,-1587000,EMERALDS,BUY,10008,4,aggressive_cross,10008
-2,416100,-1583900,TOMATOES,SELL,5005,7,aggressive_cross,5005
-2,417900,-1582100,TOMATOES,SELL,5009,7,aggressive_cross,5009
-2,421000,-1579000,EMERALDS,SELL,10000,10,aggressive_cross,10000
-2,424000,-1576000,TOMATOES,BUY,5009,6,aggressive_cross,5009
-2,437100,-1562900,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,437600,-1562400,TOMATOES,BUY,5008,8,aggressive_cross,5008
-2,437700,-1562300,TOMATOES,SELL,5008,6,aggressive_cross,5008
-2,441400,-1558600,TOMATOES,BUY,5004,10,aggressive_cross,5004
-2,447700,-1552300,TOMATOES,SELL,5007,9,aggressive_cross,5007
-2,450700,-1549300,TOMATOES,SELL,5006,9,aggressive_cross,5006
-2,455000,-1545000,TOMATOES,BUY,5005,2,aggressive_cross,5005
-2,455400,-1544600,TOMATOES,SELL,5003,2,aggressive_cross,5003
-2,456600,-1543400,TOMATOES,BUY,5003,3,aggressive_cross,5003
-2,457100,-1542900,EMERALDS,BUY,10000,10,aggressive_cross,10000
-2,458000,-1542000,TOMATOES,BUY,5001,5,aggressive_cross,5001
-2,462000,-1538000,TOMATOES,BUY,4999,9,aggressive_cross,4999
