day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-2,3300,-1996700,TOMATOES,BUY,4993,10,aggressive_cross,4993
-2,6800,-1993200,TOMATOES,BUY,4992,10,aggressive_cross,4992
-2,14600,-1985400,TOMATOES,SELL,4991,5,aggressive_cross,4991
-2,27700,-1972300,TOMATOES,SELL,4994,3,aggressive_cross,4994
-2,42400,-1957600,EMERALDS,BUY,10000,6,aggressive_cross,10000
-2,42400,-1957600,EMERALDS,BUY,10000,9,aggressive_cross,10000
-2,51800,-1948200,EMERALDS,BUY,10000,8,aggressive_cross,10000
-2,70000,-1930000,TOMATOES,SELL,5013,10,aggressive_cross,5013
-2,71500,-1928500,TOMATOES,BUY,5013,5,aggressive_cross,5013
-2,89400,-1910600,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,91700,-1908300,TOMATOES,BUY,5017,10,aggressive_cross,5017
-2,93100,-1906900,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,99300,-1900700,TOMATOES,BUY,5017,2,aggressive_cross,5017
-2,102000,-1898000,TOMATOES,SELL,5019,8,aggressive_cross,5019
-2,116300,-1883700,TOMATOES,SELL,5018,6,aggressive_cross,5018
-2,121200,-1878800,TOMATOES,BUY,5016,8,aggressive_cross,5016
-2,122100,-1877900,EMERALDS,SELL,10000,9,aggressive_cross,10000
-2,131700,-1868300,EMERALDS,SELL,10000,5,aggressive_cross,10000
-2,135400,-1864600,TOMATOES,BUY,5008,6,aggressive_cross,5008
-2,140800,-1859200,TOMATOES,SELL,5006,8,aggressive_cross,5006
-2,140900,-1859100,TOMATOES,BUY,5003,9,aggressive_cross,5003
-2,151300,-1848700,TOMATOES,SELL,5001,10,aggressive_cross,5001
-2,153600,-1846400,TOMATOES,SELL,5003,9,aggressive_cross,5003
-2,163600,-1836400,TOMATOES,BUY,4994,2,aggressive_cross,4994
-2,179200,-1820800,TOMATOES,SELL,4994,6,aggressive_cross,4994
-2,181700,-1818300,TOMATOES,BUY,4991,8,aggressive_cross,4991
-2,195600,-1804400,TOMATOES,BUY,4997,3,aggressive_cross,4997
-2,210800,-1789200,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,212100,-1787900,TOMATOES,SELL,5001,2,aggressive_cross,5001
-2,222300,-1777700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-2,222300,-1777700,EMERALDS,SELL,10000,8,aggressive_cross,10000
-2,222700,-1777300,TOMATOES,SELL,4998,4,aggressive_cross,4998
-2,224500,-1775500,TOMATOES,SELL,4996,2,aggressive_cross,4996
-2,234700,-1765300,TOMATOES,SELL,4997,2,aggressive_cross,4997
-2,240100,-1759900,TOMATOES,SELL,4993,2,aggressive_cross,4993
-2,243100,-1756900,TOMATOES,SELL,4994,2,aggressive_cross,4994
-2,247500,-1752500,EMERALDS,SELL,10000,5,aggressive_cross,10000
