day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-1,4200,-995800,EMERALDS,SELL,10000,8,aggressive_cross,10000
-1,8800,-991200,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,13900,-986100,TOMATOES,BUY,5004,6,aggressive_cross,5004
-1,28900,-971100,TOMATOES,SELL,4994,6,aggressive_cross,4994
-1,30000,-970000,TOMATOES,BUY,4988,7,aggressive_cross,4988
-1,33200,-966800,TOMATOES,BUY,4989,8,aggressive_cross,4989
-1,45600,-954400,TOMATOES,SELL,4983,7,aggressive_cross,4983
-1,46600,-953400,TOMATOES,BUY,4982,9,aggressive_cross,4982
-1,49200,-950800,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,51800,-948200,EMERALDS,SELL,10000,9,aggressive_cross,10000
-1,61400,-938600,TOMATOES,SELL,4990,6,aggressive_cross,4990
-1,68700,-931300,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,68700,-931300,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,70500,-929500,TOMATOES,BUY,4987,3,aggressive_cross,4987
-1,74700,-925300,EMERALDS,SELL,10000,9,aggressive_cross,10000
-1,84600,-915400,TOMATOES,SELL,4987,6,aggressive_cross,4987
-1,86000,-914000,TOMATOES,SELL,4983,5,aggressive_cross,4983
-1,86500,-913500,EMERALDS,SELL,10000,8,aggressive_cross,10000
-1,87200,-912800,TOMATOES,SELL,4984,9,aggressive_cross,4984
-1,91000,-909000,TOMATOES,BUY,4979,5,aggressive_cross,4979
-1,97400,-902600,TOMATOES,SELL,4985,6,aggressive_cross,4985
-1,114000,-886000,EMERALDS,SELL,10000,9,aggressive_cross,10000
-1,127600,-872400,TOMATOES,SELL,4993,5,aggressive_cross,4993
-1,127700,-872300,EMERALDS,SELL,10000,10,aggressive_cross,10000
-1,136300,-863700,TOMATOES,SELL,4995,5,aggressive_cross,4995
-1,138600,-861400,TOMATOES,BUY,4994,2,aggressive_cross,4994
-1,139100,-860900,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,140200,-859800,TOMATOES,BUY,4991,6,aggressive_cross,4991
-1,141300,-858700,TOMATOES,BUY,4994,10,aggressive_cross,4994
-1,141600,-858400,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,141700,-858300,TOMATOES,SELL,4997,10,aggressive_cross,4997
-1,147300,-852700,TOMATOES,SELL,4991,3,aggressive_cross,4991
-1,154200,-845800,TOMATOES,SELL,4989,10,aggressive_cross,4989
-1,156600,-843400,TOMATOES,BUY,4988,10,aggressive_cross,4988
-1,160700,-839300,TOMATOES,BUY,4983,9,aggressive_cross,4983
-1,163200,-836800,TOMATOES,SELL,4983,8,aggressive_cross,4983
-1,174700,-825300,TOMATOES,SELL,4992,6,aggressive_cross,4992
-1,182300,-817700,TOMATOES,SELL,4991,10,aggressive_cross,4991
-1,183700,-816300,TOMATOES,SELL,4990,6,aggressive_cross,4990
-1,195600,-804400,TOMATOES,SELL,4991,10,aggressive_cross,4991
-1,198700,-801300,TOMATOES,BUY,4994,5,aggressive_cross,4994
-1,221000,-779000,TOMATOES,SELL,4986,7,aggressive_cross,4986
-1,226200,-773800,TOMATOES,BUY,4988,10,aggressive_cross,4988
-1,234400,-765600,EMERALDS,BUY,10008,4,aggressive_cross,10008
-1,235200,-764800,TOMATOES,BUY,4981,7,aggressive_cross,4981
-1,235700,-764300,EMERALDS,BUY,10000,6,aggressive_cross,10000
-1,235700,-764300,EMERALDS,BUY,10000,10,aggressive_cross,10000
-1,242200,-757800,EMERALDS,BUY,10000,7,aggressive_cross,10000
-1,250700,-749300,TOMATOES,BUY,4983,9,aggressive_cross,4983
-1,253300,-746700,TOMATOES,SELL,4986,6,aggressive_cross,4986
-1,253500,-746500,TOMATOES,BUY,4984,9,aggressive_cross,4984
-1,256700,-743300,TOMATOES,BUY,4984,5,aggressive_cross,4984
-1,266100,-733900,TOMATOES,SELL,4987,6,aggressive_cross,4987
-1,269900,-730100,TOMATOES,SELL,4987,6,aggressive_cross,4987
-1,271600,-728400,TOMATOES,SELL,4986,8,aggressive_cross,4986
-1,278400,-721600,TOMATOES,SELL,4988,6,aggressive_cross,4988
-1,280100,-719900,TOMATOES,BUY,4982,8,aggressive_cross,4982
-1,301600,-698400,TOMATOES,BUY,4983,9,aggressive_cross,4983
-1,325300,-674700,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,325300,-674700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,335500,-664500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-1,335800,-664200,TOMATOES,SELL,4991,8,aggressive_cross,4991
-1,337600,-662400,TOMATOES,BUY,4986,5,aggressive_cross,4986
-1,339000,-661000,TOMATOES,BUY,4985,10,aggressive_cross,4985
-1,355900,-644100,TOMATOES,SELL,4997,7,aggressive_cross,4997
-1,357300,-642700,TOMATOES,BUY,4998,6,aggressive_cross,4998
-1,362800,-637200,EMERALDS,BUY,10000,7,aggressive_cross,10000
-1,369200,-630800,TOMATOES,BUY,4994,10,aggressive_cross,4994
-1,380500,-619500,TOMATOES,BUY,4992,9,aggressive_cross,4992
-1,389900,-610100,TOMATOES,BUY,4997,9,aggressive_cross,4997
-1,399000,-601000,TOMATOES,BUY,4991,5,aggressive_cross,4991
-1,411300,-588700,TOMATOES,SELL,4986,3,aggressive_cross,4986
-1,411500,-588500,TOMATOES,SELL,4989,9,aggressive_cross,4989
-1,415200,-584800,TOMATOES,SELL,4987,2,aggressive_cross,4987
-1,415900,-584100,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,419500,-580500,EMERALDS,SELL,10000,5,aggressive_cross,10000
-1,420100,-579900,TOMATOES,SELL,4990,10,aggressive_cross,4990
-1,422600,-577400,TOMATOES,SELL,4989,9,aggressive_cross,4989
-1,432300,-567700,TOMATOES,SELL,4997,5,aggressive_cross,4997
-1,433500,-566500,TOMATOES,SELL,4996,3,aggressive_cross,4996
-1,434700,-565300,TOMATOES,SELL,4999,5,aggressive_cross,4999
-1,435000,-565000,EMERALDS,SELL,10000,5,aggressive_cross,10000
-1,445900,-554100,TOMATOES,BUY,4995,10,aggressive_cross,4995
-1,446200,-553800,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,446200,-553800,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,448100,-551900,TOMATOES,BUY,4996,10,aggressive_cross,4996
-1,459400,-540600,TOMATOES,BUY,4999,6,aggressive_cross,4999
-1,470500,-529500,TOMATOES,SELL,4993,9,aggressive_cross,4993
-1,477100,-522900,TOMATOES,SELL,4984,2,aggressive_cross,4984
-1,481800,-518200,TOMATOES,BUY,4984,4,aggressive_cross,4984
-1,484200,-515800,EMERALDS,BUY,10008,4,aggressive_cross,10008
-1,484300,-515700,EMERALDS,BUY,10008,4,aggressive_cross,10008
-1,484400,-515600,TOMATOES,SELL,4984,2,aggressive_cross,4984
-1,485000,-515000,TOMATOES,BUY,4982,10,aggressive_cross,4982
-1,490600,-509400,TOMATOES,SELL,4980,10,aggressive_cross,4980
-1,495700,-504300,TOMATOES,BUY,4978,5,aggressive_cross,4978
-1,495900,-504100,EMERALDS,BUY,10000,5,aggressive_cross,10000
-1,511800,-488200,TOMATOES,SELL,4976,7,aggressive_cross,4976
-1,518200,-481800,TOMATOES,SELL,4973,6,aggressive_cross,4973
-1,519700,-480300,TOMATOES,SELL,4974,10,aggressive_cross,4974
-1,523100,-476900,TOMATOES,SELL,4977,10,aggressive_cross,4977
-1,531000,-469000,TOMATOES,SELL,4981,2,aggressive_cross,4981
-1,531200,-468800,TOMATOES,BUY,4981,2,aggressive_cross,4981
-1,538500,-461500,TOMATOES,SELL,4981,3,aggressive_cross,4981
-1,545800,-454200,EMERALDS,SELL,10000,10,aggressive_cross,10000
-1,548900,-451100,TOMATOES,SELL,4971,5,aggressive_cross,4971
-1,551900,-448100,TOMATOES,SELL,4969,3,aggressive_cross,4969
-1,561600,-438400,EMERALDS,BUY,10000,9,aggressive_cross,10000
-1,579600,-420400,TOMATOES,SELL,4974,2,aggressive_cross,4974
-1,585300,-414700,TOMATOES,SELL,4970,9,aggressive_cross,4970
-1,591200,-408800,TOMATOES,SELL,4974,4,aggressive_cross,4974
-1,593600,-406400,TOMATOES,SELL,4971,6,aggressive_cross,4971
-1,595400,-404600,TOMATOES,SELL,4971,7,aggressive_cross,4971
-1,612600,-387400,EMERALDS,BUY,10000,8,aggressive_cross,10000
-1,612600,-387400,TOMATOES,BUY,4972,7,aggressive_cross,4972
-1,613200,-386800,TOMATOES,SELL,4976,7,aggressive_cross,4976
