day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price
-1,4200,-995800,EMERALDS,SELL,10000,9,aggressive_cross,10000
-1,14900,-985100,EMERALDS,SELL,10000,5,aggressive_cross,10000
-1,49200,-950800,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,51800,-948200,EMERALDS,SELL,10000,10,aggressive_cross,10000
-1,68700,-931300,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,74700,-925300,EMERALDS,SELL,10000,10,aggressive_cross,10000
-1,86500,-913500,EMERALDS,SELL,10000,8,aggressive_cross,10000
-1,95000,-905000,EMERALDS,SELL,10000,9,aggressive_cross,10000
-1,101600,-898400,EMERALDS,BUY,10000,6,aggressive_cross,10000
-1,114000,-886000,EMERALDS,SELL,10000,9,aggressive_cross,10000
-1,139100,-860900,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,141600,-858400,EMERALDS,SELL,10000,10,aggressive_cross,10000
-1,155700,-844300,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,171100,-828900,TOMATOES,SELL,4982,6,aggressive_cross,4982
-1,191000,-809000,EMERALDS,BUY,10000,10,aggressive_cross,10000
-1,214700,-785300,EMERALDS,SELL,10000,10,aggressive_cross,10000
-1,215200,-784800,TOMATOES,SELL,4990,7,aggressive_cross,4990
-1,219900,-780100,EMERALDS,BUY,10000,6,aggressive_cross,10000
-1,235700,-764300,EMERALDS,BUY,10000,10,aggressive_cross,10000
-1,238600,-761400,EMERALDS,BUY,10000,7,aggressive_cross,10000
-1,242200,-757800,EMERALDS,BUY,10000,7,aggressive_cross,10000
-1,267900,-732100,EMERALDS,BUY,10000,10,aggressive_cross,10000
-1,294100,-705900,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,305600,-694400,EMERALDS,SELL,10000,5,aggressive_cross,10000
-1,325300,-674700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,325500,-674500,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,391200,-608800,TOMATOES,BUY,5006,6,aggressive_cross,5006
-1,393300,-606700,EMERALDS,BUY,10000,7,aggressive_cross,10000
-1,415900,-584100,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,435000,-565000,EMERALDS,SELL,10000,5,aggressive_cross,10000
-1,446200,-553800,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,448700,-551300,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,495900,-504100,EMERALDS,BUY,10000,5,aggressive_cross,10000
-1,496100,-503900,EMERALDS,BUY,10000,9,aggressive_cross,10000
-1,541600,-458400,TOMATOES,SELL,4972,5,aggressive_cross,4972
-1,561600,-438400,EMERALDS,BUY,10000,9,aggressive_cross,10000
-1,565500,-434500,TOMATOES,SELL,4974,2,aggressive_cross,4974
-1,571800,-428200,TOMATOES,SELL,4968,8,aggressive_cross,4968
-1,578800,-421200,TOMATOES,SELL,4965,8,aggressive_cross,4965
-1,589800,-410200,TOMATOES,SELL,4967,5,aggressive_cross,4967
-1,604400,-395600,TOMATOES,SELL,4967,6,aggressive_cross,4967
-1,612600,-387400,EMERALDS,BUY,10000,8,aggressive_cross,10000
-1,622900,-377100,TOMATOES,SELL,4967,6,aggressive_cross,4967
-1,628500,-371500,TOMATOES,SELL,4965,7,aggressive_cross,4965
-1,689300,-310700,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,706400,-293600,EMERALDS,SELL,10000,10,aggressive_cross,10000
-1,712800,-287200,EMERALDS,SELL,10000,5,aggressive_cross,10000
-1,721300,-278700,TOMATOES,SELL,4945,5,aggressive_cross,4945
-1,723000,-277000,EMERALDS,BUY,10000,6,aggressive_cross,10000
-1,739000,-261000,EMERALDS,BUY,10000,9,aggressive_cross,10000
-1,742000,-258000,EMERALDS,BUY,10000,6,aggressive_cross,10000
-1,755800,-244200,EMERALDS,BUY,10000,10,aggressive_cross,10000
-1,767700,-232300,EMERALDS,BUY,10000,9,aggressive_cross,10000
-1,780700,-219300,EMERALDS,BUY,10000,8,aggressive_cross,10000
-1,788600,-211400,EMERALDS,SELL,10000,8,aggressive_cross,10000
-1,823800,-176200,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,838100,-161900,EMERALDS,SELL,10000,6,aggressive_cross,10000
-1,848200,-151800,EMERALDS,BUY,10000,6,aggressive_cross,10000
-1,891800,-108200,EMERALDS,SELL,10000,5,aggressive_cross,10000
-1,904900,-95100,EMERALDS,BUY,10000,10,aggressive_cross,10000
-1,917700,-82300,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,938900,-61100,EMERALDS,BUY,10000,6,aggressive_cross,10000
-1,950300,-49700,EMERALDS,BUY,10000,8,aggressive_cross,10000
-1,953500,-46500,EMERALDS,SELL,10000,7,aggressive_cross,10000
-1,955000,-45000,EMERALDS,BUY,10000,9,aggressive_cross,10000
-1,985400,-14600,EMERALDS,BUY,10000,6,aggressive_cross,10000
-1,989000,-11000,EMERALDS,BUY,10000,7,aggressive_cross,10000
-1,990900,-9100,EMERALDS,BUY,10000,9,aggressive_cross,10000
-1,993000,-7000,EMERALDS,BUY,10000,7,aggressive_cross,10000
