session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
0,14266.0,6967.0,7299.0,9,2,-83033.0,-2634.0,1.4041850239488503,0.9968994004209777,0.6843281174972812,0.9963980620859231,0.7198569064515691,0.9955958914432771
1,15330.0,7730.0,7600.0,10,17,-92270.0,-79083.0,1.5819082526955826,0.9979224735072317,0.7913793262377933,0.9983067602712837,0.7905289264577893,0.9928611947074532
2,14530.0,7571.0,6959.0,-2,3,27571.0,-8176.0,1.418248805230488,0.9976579818883773,0.7326754519747545,0.9971123110320008,0.6855733532557335,0.9967281997029485
3,15513.75,8476.0,7037.75,3,9,-21524.0,-38068.0,1.5240669305826693,0.9984844944603858,0.8382880421828804,0.997928740366121,0.6857788883997888,0.9965964839259064
4,14944.25,8145.0,6799.25,22,3,-211855.0,-8254.0,1.4465252437657525,0.9938052624392405,0.8227508677575087,0.9952497390327536,0.6237743760082438,0.9854173195738898
5,15307.0,7383.0,7924.0,-3,18,37383.0,-81590.0,1.582484111194341,0.9984281464470113,0.7667782604757826,0.9965856586160529,0.8157058507185585,0.994764318601714
6,15500.0,8723.0,6777.0,23,-4,-221277.0,26739.0,1.5268389259843893,0.9961227875746493,0.8504349258743492,0.996303290585857,0.67640400011004,0.990476629022587
7,12774.0,6582.0,6192.0,27,-3,-263418.0,21249.0,1.2824048535020485,0.9987654921667529,0.6613263874332639,0.9972897736506408,0.6210784660687847,0.9975511604864109
8,15383.75,7485.0,7898.75,-8,1,87485.0,2928.0,1.4899292772087929,0.9981472976327506,0.7186599551205995,0.9973887954724482,0.7712693220881932,0.9972784514910342
9,15561.0,8416.0,7145.0,1,-5,-1584.0,32015.0,1.5789722118637222,0.9973692888445852,0.8306287247842873,0.9965894037104527,0.7483434870794349,0.9957566220220893
10,13371.0,7077.0,6294.0,-3,12,37077.0,-52959.0,1.3128699704286997,0.9959505190456127,0.7049845741198457,0.996631677573236,0.607885396308854,0.9900248646081597
11,15774.5,8247.0,7527.5,-10,-2,108247.0,17456.0,1.4673559472420594,0.9960488427459803,0.794863196506632,0.9927195354508495,0.6724927507354275,0.9951207922329582
12,14647.5,7933.0,6714.5,8,-2,-72067.0,16560.0,1.5281358184613583,0.9979846326722638,0.8288538166105381,0.9975757757975847,0.69928200185082,0.9970945999870025
13,14579.0,8282.0,6297.0,-18,-8,188282.0,46379.0,1.4597049484580495,0.9963702723815102,0.8519788287897883,0.9968270352761498,0.6077261196682612,0.9865747655551541
14,13844.5,7458.0,6386.5,26,13,-252542.0,-58295.0,1.3281530397065304,0.9981897381287206,0.7407592853795929,0.9969292010396007,0.5873937543269375,0.9935731567169205
15,15606.25,7211.0,8395.25,-1,1,17211.0,3359.0,1.5268595712720958,0.998650965670801,0.7313068646690687,0.9979136221042807,0.795552706603027,0.9958837101803152
16,15343.0,7688.0,7655.0,18,-8,-172312.0,47259.0,1.5283095740425958,0.9986782882801016,0.7931525430595254,0.9947154707927479,0.7351570309830703,0.9965721438473306
17,14860.5,7011.0,7849.5,-19,6,197011.0,-22140.0,1.4855925743609257,0.9990606879140503,0.6976576429125765,0.9978638809876056,0.7879349314483494,0.9977199869781447
18,14853.0,6779.0,8074.0,10,10,-93221.0,-42731.0,1.4974358854243588,0.9981224447808598,0.6875660534276605,0.995094067689521,0.8098698319966984,0.9964179354610282
19,14167.0,7797.0,6370.0,-12,-8,127797.0,45376.0,1.4471546525815466,0.9961031726274039,0.7904918686709187,0.9980540595786203,0.6566627839106278,0.9883379380015413
20,13799.0,7450.0,6349.0,-12,9,127450.0,-38759.0,1.4452960351219604,0.9955825619587311,0.802076909284769,0.9925143219328293,0.6432191258371912,0.9938455375829454
21,13273.5,7184.0,6089.5,35,9,-342816.0,-38708.0,1.342103809056538,0.9985325424276262,0.7113687926436879,0.9966629121706273,0.6307350164128501,0.9889802466092763
22,13259.0,6968.0,6291.0,-8,36,86968.0,-173700.0,1.308467496213175,0.9990799932664097,0.6937178608511786,0.9970894711602656,0.6147496353619963,0.9938485542677713
23,14349.0,6990.0,7359.0,-4,0,46990.0,7359.0,1.423372710031727,0.9963292708358109,0.708908296059083,0.9881665788715824,0.7144644139726442,0.9984113044782953
24,15473.0,8004.0,7469.0,-18,-2,188004.0,17308.0,1.5341380378043803,0.9991976660153756,0.8059978880419789,0.9976429741718379,0.7281401497624015,0.9973066391935033
25,14718.5,7583.0,7135.5,13,1,-122417.0,2180.0,1.4348024500955245,0.9984329178976741,0.7268152091121521,0.9943693811907524,0.7079872409833724,0.9944066012034194
26,15030.0,7762.0,7268.0,-5,28,57762.0,-134531.0,1.5101538456250385,0.9969364255654086,0.7855846629678467,0.9930163632269609,0.7245691826571918,0.9956249535130481
27,14071.75,7490.0,6581.75,-10,13,107490.0,-58051.0,1.3698085088805851,0.9981879469268431,0.7371109912411099,0.9937524027380106,0.6326975176394751,0.9795512305023208
28,15238.0,7552.0,7686.0,-18,-10,187552.0,57806.0,1.481789395791894,0.9974220147668734,0.7608501714545017,0.9982135563334006,0.7209392243373922,0.9893582542975038
29,16860.0,8202.0,8658.0,15,-7,-141798.0,43700.0,1.6841774863542749,0.9945846732107073,0.8382696091866961,0.9981790700354676,0.8459078771675788,0.9792164613710611
30,15605.5,7940.0,7665.5,-38,10,387940.0,-42192.0,1.5102422336164223,0.9979956090843201,0.7510488893384889,0.9952000853300434,0.7591933442779334,0.9974333968041126
31,14436.5,7399.0,7037.5,-22,1,227399.0,2099.0,1.4711854347643543,0.9935039266797642,0.757018403140184,0.9925960186941291,0.7141670316241703,0.9908596973740501
32,14546.0,8107.0,6439.0,-2,4,28107.0,-13509.0,1.438062611167626,0.9957274950855083,0.8182673923726739,0.9975089108764371,0.6197952187949521,0.9671138643585447
33,14460.0,7221.0,7239.0,6,-12,-52779.0,67479.0,1.3684937323684374,0.9934219587684862,0.6590098733060987,0.9860723231164066,0.7094838590623386,0.9949345834079327
34,15369.75,7860.0,7509.75,17,7,-162140.0,-27632.0,1.5413124325641243,0.99860659342983,0.8250794190067942,0.9957769995696125,0.7162330135573302,0.9966831408401385
35,14068.0,6965.0,7103.0,1,16,-3035.0,-72361.0,1.395936401610364,0.9983097643832154,0.6749321058893211,0.990732962020087,0.721004295721043,0.9960637650904373
36,14053.75,6929.0,7124.75,-11,11,116929.0,-47262.0,1.4301962490909625,0.9988595926771271,0.6881807742178078,0.9987837814024371,0.7420154748731548,0.9955743005652471
37,15094.0,7724.0,7370.0,14,4,-132276.0,-12671.0,1.529688205903382,0.9993946103595702,0.7814481371664814,0.9979116225166604,0.7482400687369006,0.9983083160255898
38,15509.0,8437.0,7072.0,13,8,-121563.0,-32942.0,1.5356732847222327,0.9983336057992722,0.8526442228084422,0.996503956523354,0.6830290619137906,0.9971489691169126
39,15414.5,8134.0,7280.5,12,2,-111866.0,-2926.0,1.5728610896561108,0.9993168024727721,0.846816596828166,0.9958191052439199,0.7260444928279449,0.9949119722692662
40,14172.5,7564.0,6608.5,30,-2,-292436.0,16711.0,1.4204141610321417,0.9991944404955141,0.7820627844506278,0.9975992661097429,0.6383513765815138,0.994317715455975
41,15924.0,7701.0,8223.0,-16,10,167701.0,-41372.0,1.6131403864249039,0.9974399792518961,0.7602313481643135,0.9943944256514103,0.8529090382605904,0.9929114217723626
42,16335.5,8362.0,7973.5,-6,-5,68362.0,32806.0,1.5908153734986537,0.9986868726628664,0.8096481334944813,0.9963395722823014,0.7811672400041724,0.995838821777891
43,13875.5,7441.0,6434.5,-4,-6,47441.0,36694.0,1.4064552596900526,0.9987065557150706,0.7526013854180138,0.9954965044801476,0.6538538742720388,0.99715643292264
44,13176.5,6554.0,6622.5,-23,17,236554.0,-78488.0,1.2865900895239009,0.998215207812552,0.650954103371541,0.9955416758575656,0.6356359861523598,0.9971828346809672
45,12143.0,6611.0,5532.0,-6,12,66611.0,-54186.0,1.2174509809670098,0.9960164678874326,0.660082292952823,0.9969144912648233,0.5573686880141869,0.9882907152612745
46,15955.75,7903.0,8052.75,-1,9,17903.0,-36900.0,1.6271228260432282,0.9980359351281075,0.8138697697526976,0.9968080084978416,0.8132530562905306,0.9931031909890445
47,14733.5,7791.0,6942.5,-19,3,197791.0,-7921.0,1.511218516021185,0.9977723746691958,0.8133854264138543,0.9975648434632274,0.6978330896073309,0.9950857106350909
48,14907.5,7402.0,7505.5,10,-1,-92598.0,12492.0,1.5316940419519405,0.9978943290802432,0.753930198285302,0.9918079029403783,0.7777638436666384,0.9976283265253645
49,14712.75,7140.0,7572.75,-3,-7,37140.0,42809.0,1.433462508870625,0.9969814579907985,0.7177906478539064,0.9972824783431378,0.7156718610167186,0.9951616308471808
50,14355.5,7771.0,6584.5,-12,5,127771.0,-18393.0,1.4391470498209704,0.9970049400994194,0.7739081044250811,0.9970675525657127,0.6652389453958895,0.9955289583791775
